"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence"
"Adipoq_Adipor2","Adipoq","adiponectin, C1Q and collagen domain containing","Adipor2","adiponectin receptor 2","","HPMR","","HPRD","","","ADIPOQ","ADIPOR2","","known","literature supported"
"Adm2_Calcr","Adm2","adrenomedullin 2","Calcr","calcitonin receptor","","","IUPHAR","","","","ADM2","CALCR","","known","literature supported"
"Adm2_Calcrl","Adm2","adrenomedullin 2","Calcrl","calcitonin receptor-like","","HPMR","","","","","ADM2","CALCRL","","known","literature supported"
"Adm2_Ramp1","Adm2","adrenomedullin 2","Ramp1","receptor (G protein-coupled) activity modifying protein 1","","HPMR","","","","","ADM2","RAMP1","","known","literature supported"
"Adm_Calcr","Adm","adrenomedullin","Calcr","calcitonin receptor","","","IUPHAR","","","","ADM","CALCR","","known","literature supported"
"Adm_Calcrl","Adm","adrenomedullin","Calcrl","calcitonin receptor-like","","HPMR","","HPRD","","","ADM","CALCRL","","known","literature supported"
"Adm_Gpr182","Adm","adrenomedullin","Gpr182","G protein-coupled receptor 182","","HPMR","","","","","ADM","ADMR","","known","literature supported"
"Adm_Mrgpra6","Adm","adrenomedullin","Mrgpra6","MAS-related GPR, member X2","","HPMR","IUPHAR","","","","ADM","MRGPRX2","","known","literature supported"
"Adm_Ramp2","Adm","adrenomedullin","Ramp2","receptor (G protein-coupled) activity modifying protein 2","","HPMR","","","","","ADM","RAMP2","","known","literature supported"
"Agrn_Atp1a3","Agrn","agrin","Atp1a3","ATPase, Na+/K+ transporting, alpha 3 polypeptide","","","","","STRING.binding","","","","16630822","novel","literature supported"
"Agrn_Lrp4","Agrn","agrin","Lrp4","low density lipoprotein receptor-related protein 4","","","","","","","","","18848351","novel","literature supported"
"Agrn_Musk","Agrn","agrin","Musk","muscle, skeletal, receptor tyrosine kinase","","HPMR","","","","","","MUSK","","known","literature supported"
"Agrp_Mc3r","Agrp","agouti related protein homolog (mouse)","Mc3r","melanocortin 3 receptor","","HPMR","IUPHAR","HPRD","STRING.binding","","AGRP","MC3R","","known","literature supported"
"Agrp_Mc4r","Agrp","agouti related protein homolog (mouse)","Mc4r","melanocortin 4 receptor","","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","AGRP","MC4R","","known","literature supported"
"Agrp_Mc5r","Agrp","agouti related protein homolog (mouse)","Mc5r","melanocortin 5 receptor","","","IUPHAR","HPRD","","","AGRP","MC5R","","known","literature supported"
"Agrp_Sdc3","Agrp","agouti related protein homolog (mouse)","Sdc3","syndecan 3","","","","","STRING.binding","","AGRP","SDC3","11461706","novel","literature supported"
"Agt_Agtr1b","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Agtr1b","angiotensin II receptor, type 1","","HPMR","IUPHAR","HPRD","","","AGT","AGTR1","","known","literature supported"
"Agt_Agtr2","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Agtr2","angiotensin II receptor, type 2","","HPMR","IUPHAR","HPRD","","","AGT","AGTR2","","known","literature supported"
"Agt_Lrp2","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Lrp2","low density lipoprotein receptor-related protein 2","","HPMR","","","","","AGT","LRP2","","known","literature supported"
"Agt_Mas1","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Mas1","MAS1 oncogene","","HPMR","","HPRD","","","AGT","MAS1","","known","literature supported"
"Ahsg_Insr","Ahsg","alpha-2-HS-glycoprotein","Insr","insulin receptor","","","","HPRD","","","","INSR","","novel","literature supported"
"Alb_Lrp2","Alb","albumin","Lrp2","low density lipoprotein receptor-related protein 2","","","","HPRD","STRING.binding","","ALB","LRP2","","novel","literature supported"
"Alox5ap_Alox5","Alox5ap","arachidonate 5-lipoxygenase-activating protein","Alox5","arachidonate 5-lipoxygenase","","","IUPHAR","HPRD","STRING.binding","","","","","known","EXCLUDED not receptor"
"Amelx_Lamp1","Amelx","amelogenin, X-linked","Lamp1","lysosomal-associated membrane protein 1","","","","","","","","","20382373","novel","literature supported"
"AMELY_Lamp1","AMELY","amelogenin, Y-linked","Lamp1","lysosomal-associated membrane protein 1","","","","","","","","","20382373","novel","literature supported"
"Amh_Acvr1","Amh","anti-Mullerian hormone","Acvr1","activin A receptor, type I","","","","","STRING.binding","","AMH","ACVR1","14656470","novel","literature supported"
"Amh_Amhr2","Amh","anti-Mullerian hormone","Amhr2","anti-Mullerian hormone receptor, type II","DLRP","HPMR","","HPRD","STRING.binding","","AMH","AMHR2","","known","literature supported"
"Amh_Egfr","Amh","anti-Mullerian hormone","Egfr","epidermal growth factor receptor","","","","HPRD","","","AMH","EGFR","","novel","literature supported"
"Angpt1_Itga5","Angpt1","angiopoietin 1","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","","","HPRD","STRING.binding","","ANGPT1","ITGA5","","novel","literature supported"
"Angpt1_Itgb1","Angpt1","angiopoietin 1","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","","STRING.binding","","ANGPT1","ITGB1","","novel","putative"
"Angpt1_Tek","Angpt1","angiopoietin 1","Tek","TEK tyrosine kinase, endothelial","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","ANGPT1","TEK","","known","literature supported"
"Angpt1_Tie1","Angpt1","angiopoietin 1","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","HPMR","","","","","ANGPT1","TIE1","","known","literature supported"
"Angpt2_Tek","Angpt2","angiopoietin 2","Tek","TEK tyrosine kinase, endothelial","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","ANGPT2","TEK","","known","literature supported"
"Angpt2_Tie1","Angpt2","angiopoietin 2","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","STRING.experiment","ANGPT2","TIE1","","novel","putative"
"Angpt4_Tek","Angpt4","angiopoietin 4","Tek","TEK tyrosine kinase, endothelial","","","IUPHAR","HPRD","STRING.binding","STRING.experiment","","TEK","","known","literature supported"
"Angpt4_Tie1","Angpt4","angiopoietin 4","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","STRING.experiment","","TIE1","","novel","putative"
"Angptl1_Tek","Angptl1","angiopoietin-like 1","Tek","TEK tyrosine kinase, endothelial","DLRP","","","HPRD","","","","TEK","","known","literature supported"
"Angptl2_Tie1","Angptl2","angiopoietin-like 2","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","","","TIE1","","novel","putative"
"Angptl3_Itga5","Angptl3","angiopoietin-like 3","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","","","HPRD","","","","ITGA5","","novel","literature supported"
"Angptl3_Itgav","Angptl3","angiopoietin-like 3","Itgav","integrin, alpha V","","","","HPRD","STRING.binding","","","ITGAV","","novel","literature supported"
"Angptl3_Itgb3","Angptl3","angiopoietin-like 3","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","","","HPRD","","","","ITGB3","","novel","literature supported"
"Angptl4_Tie1","Angptl4","angiopoietin-like 4","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","","","","","STRING.binding","","ANGPTL4","TIE1","","novel","putative"
"Anxa1_Dysf","Anxa1","annexin A1","Dysf","dysferlin","","","","HPRD","STRING.binding","","ANXA1","","","novel","literature supported"
"Anxa1_Egfr","Anxa1","annexin A1","Egfr","epidermal growth factor receptor","","","","HPRD","STRING.binding","","ANXA1","EGFR","","novel","literature supported"
"Anxa1_Fpr1","Anxa1","annexin A1","Fpr1","formyl peptide receptor 1","","HPMR","IUPHAR","HPRD","","","ANXA1","FPR1","","known","literature supported"
"Anxa1_Fpr-rs7","Anxa1","annexin A1","Fpr-rs7","formyl peptide receptor 2","","","IUPHAR","","STRING.binding","","ANXA1","FPRL1","","known","literature supported"
"Anxa1_FPR3","Anxa1","annexin A1","FPR3","formyl peptide receptor 3","","","IUPHAR","","STRING.binding","","ANXA1","FPRL2","","known","literature supported"
"Apln_Aplnr","Apln","apelin","Aplnr","apelin receptor","","HPMR","IUPHAR","HPRD","STRING.binding","","APLN","AGTRL1","","known","literature supported"
"Apob_Calcr","Apob","apolipoprotein B","Calcr","calcitonin receptor","","","","","STRING.binding","STRING.experiment","APOB","CALCR","","novel","putative"
"Apob_Gm49368","Apob","apolipoprotein B","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","","","","STRING.binding","","APOB","ITGAM","","novel","putative"
"Apob_Itgb2l","Apob","apolipoprotein B","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","","","","STRING.binding","","APOB","ITGB2","","novel","putative"
"Apob_Ldlr","Apob","apolipoprotein B","Ldlr","low density lipoprotein receptor","","HPMR","","HPRD","STRING.binding","","APOB","LDLR","","known","literature supported"
"Apob_Lrp2","Apob","apolipoprotein B","Lrp2","low density lipoprotein receptor-related protein 2","","","","HPRD","","","APOB","LRP2","","novel","literature supported"
"Apob_Lrp6","Apob","apolipoprotein B","Lrp6","low density lipoprotein receptor-related protein 6","","","","","STRING.binding","","APOB","LRP6","","novel","putative"
"Apob_Lrp8","Apob","apolipoprotein B","Lrp8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","","","","","STRING.binding","","APOB","LRP8","","novel","putative"
"Apob_Lsr","Apob","apolipoprotein B","Lsr","lipolysis stimulated lipoprotein receptor","","","","","STRING.binding","","APOB","","7615497","novel","literature supported"
"Apob_Olr1","Apob","apolipoprotein B","Olr1","oxidized low density lipoprotein (lectin-like) receptor 1","","","","","STRING.binding","","APOB","OLR1","9763524","novel","literature supported"
"Apoc3_Sdc2","Apoc3","apolipoprotein C-III","Sdc2","syndecan 2","","","","","STRING.binding","","APOC3","SDC2","","novel","putative"
"Apoc3_Tlr2","Apoc3","apolipoprotein C-III","Tlr2","toll-like receptor 2","","","","","STRING.binding","","APOC3","TLR2","","novel","putative"
"Apod_Lepr","Apod","apolipoprotein D","Lepr","leptin receptor","","","","HPRD","STRING.binding","","","LEPR","","novel","literature supported"
"Apoe_Chrna4","Apoe","apolipoprotein E","Chrna4","cholinergic receptor, nicotinic, alpha 4 (neuronal)","","","","","STRING.binding","","APOE","","","novel","putative"
"Apoe_Ldlr","Apoe","apolipoprotein E","Ldlr","low density lipoprotein receptor","","HPMR","","HPRD","STRING.binding","","APOE","LDLR","","known","literature supported"
"Apoe_Lrp1","Apoe","apolipoprotein E","Lrp1","low density lipoprotein receptor-related protein 1","","","","HPRD","STRING.binding","STRING.experiment","APOE","LRP1","","novel","literature supported"
"Apoe_Lrp2","Apoe","apolipoprotein E","Lrp2","low density lipoprotein receptor-related protein 2","","","","HPRD","","STRING.experiment","APOE","LRP2","","novel","literature supported"
"Apoe_Lrp5","Apoe","apolipoprotein E","Lrp5","low density lipoprotein receptor-related protein 5","","HPMR","","","STRING.binding","","APOE","LRP5","","known","literature supported"
"Apoe_Lrp8","Apoe","apolipoprotein E","Lrp8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","","HPMR","","HPRD","STRING.binding","STRING.experiment","APOE","LRP8","","known","literature supported"
"Apoe_Scarb1","Apoe","apolipoprotein E","Scarb1","scavenger receptor class B, member 1","","","","HPRD","STRING.binding","","APOE","SCARB1","","novel","literature supported"
"Apoe_Sorl1","Apoe","apolipoprotein E","Sorl1","sortilin-related receptor, L(DLR class) A repeats containing","","HPMR","","","","","APOE","SORL1","","known","literature supported"
"Apoe_Vldlr","Apoe","apolipoprotein E","Vldlr","very low density lipoprotein receptor","","HPMR","","HPRD","STRING.binding","STRING.experiment","APOE","VLDLR","","known","literature supported"
"App_Cav1","App","amyloid beta (A4) precursor protein","Cav1","caveolin 1, caveolae protein, 22kDa","","","","HPRD","","","","","","novel","literature supported"
"App_Cd74","App","amyloid beta (A4) precursor protein","Cd74","CD74 molecule, major histocompatibility complex, class II invariant chain","","","","","","","","","19849849","novel","literature supported"
"App_Fpr-rs7","App","amyloid beta (A4) precursor protein","Fpr-rs7","formyl peptide receptor 2","","","IUPHAR","","STRING.binding","","","FPRL1","","known","literature supported"
"App_Gpc1","App","amyloid beta (A4) precursor protein","Gpc1","glypican 1","","","","HPRD","STRING.binding","","","GPC1","","novel","literature supported"
"App_Lrp1","App","amyloid beta (A4) precursor protein","Lrp1","low density lipoprotein receptor-related protein 1","","","","HPRD","","STRING.experiment","","LRP1","","novel","literature supported"
"App_Ncstn","App","amyloid beta (A4) precursor protein","Ncstn","nicastrin","","","","HPRD","","","","NCSTN","","novel","literature supported"
"App_Ngfr","App","amyloid beta (A4) precursor protein","Ngfr","nerve growth factor receptor","","","","","STRING.binding","","","NGFR","","novel","putative"
"App_Slc45a3","App","amyloid beta (A4) precursor protein","Slc45a3","solute carrier family 45, member 3","","","","","STRING.binding","","","","","novel","putative"
"App_Tnfrsf21","App","amyloid beta (A4) precursor protein","Tnfrsf21","tumor necrosis factor receptor superfamily, member 21","","","","","STRING.binding","","","TNFRSF21","19225519","novel","literature supported"
"AREGB_Egfr","AREGB","amphiregulin B","Egfr","epidermal growth factor receptor","","","IUPHAR","","","","","EGFR","","known","literature supported"
"AREGB_Erbb3","AREGB","amphiregulin B","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","","","","","STRING.binding","","","ERBB3","","novel","putative"
"Areg_Egfr","Areg","amphiregulin","Egfr","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","","","AREG","EGFR","","known","literature supported"
"Areg_Erbb3","Areg","amphiregulin","Erbb3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","","","","","STRING.binding","","AREG","ERBB3","8702723","novel","literature supported"
"Arf1_Chrm3","Arf1","ADP-ribosylation factor 1","Chrm3","cholinergic receptor, muscarinic 3","","","","HPRD","","","","CHRM3","","novel","literature supported"
"Arf1_Insr","Arf1","ADP-ribosylation factor 1","Insr","insulin receptor","","","","HPRD","","","","INSR","","novel","literature supported"
"Arf1_Pld2","Arf1","ADP-ribosylation factor 1","Pld2","phospholipase D2","","","IUPHAR","HPRD","STRING.binding","STRING.experiment","","","","known","literature supported"
"Artn_Gfra1","Artn","artemin","Gfra1","GDNF family receptor alpha 1","","","","","STRING.binding","","ARTN","GFRA1","9883723","novel","literature supported"
"Artn_Gfra3","Artn","artemin","Gfra3","GDNF family receptor alpha 3","","HPMR","","HPRD","STRING.binding","STRING.experiment","ARTN","GFRA3","","known","literature supported"
"Artn_Ret","Artn","artemin","Ret","ret proto-oncogene","","HPMR","","","","","ARTN","RET","","known","literature supported"
"a_Atrn","a","agouti signaling protein","Atrn","attractin","","HPMR","","","","","ASIP","ATRN","","known","literature supported"
"a_F11r","a","agouti signaling protein","F11r","F11 receptor","","","","HPRD","","","ASIP","","","novel","literature supported"
"a_Mc1r","a","agouti signaling protein","Mc1r","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)","","HPMR","","HPRD","","","ASIP","MC1R","","known","literature supported"
"a_Mc2r","a","agouti signaling protein","Mc2r","melanocortin 2 receptor (adrenocorticotropic hormone)","","","","HPRD","","","ASIP","MC2R","","novel","literature supported"
"a_Mc3r","a","agouti signaling protein","Mc3r","melanocortin 3 receptor","","","","HPRD","","","ASIP","MC3R","","novel","literature supported"
"a_Mc4r","a","agouti signaling protein","Mc4r","melanocortin 4 receptor","","","","HPRD","","","ASIP","MC4R","","novel","literature supported"
"a_Mc5r","a","agouti signaling protein","Mc5r","melanocortin 5 receptor","","","","HPRD","","","ASIP","MC5R","","novel","literature supported"
"a_Mgrn1","a","agouti signaling protein","Mgrn1","mahogunin ring finger 1, E3 ubiquitin protein ligase","","HPMR","","","","","ASIP","MGRN1","","known","EXCLUDED not receptor"
"Avp_Avpr1a","Avp","arginine vasopressin","Avpr1a","arginine vasopressin receptor 1A","","HPMR","IUPHAR","HPRD","","","AVP","AVPR1A","","known","literature supported"
"Avp_Avpr1b","Avp","arginine vasopressin","Avpr1b","arginine vasopressin receptor 1B","","HPMR","IUPHAR","HPRD","","","AVP","AVPR1B","","known","literature supported"
"Avp_Avpr2","Avp","arginine vasopressin","Avpr2","arginine vasopressin receptor 2","","HPMR","IUPHAR","HPRD","","","AVP","AVPR2","","known","literature supported"
"Avp_Oxtr","Avp","arginine vasopressin","Oxtr","oxytocin receptor","","","IUPHAR","HPRD","","","AVP","OXTR","","known","literature supported"
"Azgp1_Itgav","Azgp1","alpha-2-glycoprotein 1, zinc-binding","Itgav","integrin, alpha V","","","","HPRD","","","","ITGAV","","novel","literature supported"
"B2m_CD1A","B2m","beta-2-microglobulin","CD1A","CD1a molecule","","","","HPRD","STRING.binding","STRING.experiment","","","","novel","literature supported"
"B2m_CD1B","B2m","beta-2-microglobulin","CD1B","CD1b molecule","","","","HPRD","STRING.binding","STRING.experiment","","","","novel","literature supported"
"B2m_Cd247","B2m","beta-2-microglobulin","Cd247","CD247 molecule","","","","","STRING.binding","","","","","novel","putative"
"B2m_Cd3d","B2m","beta-2-microglobulin","Cd3d","CD3d molecule, delta (CD3-TCR complex)","","","","","STRING.binding","","","","","novel","putative"
"B2m_Cd3g","B2m","beta-2-microglobulin","Cd3g","CD3g molecule, gamma (CD3-TCR complex)","","","","","STRING.binding","","","CD3G","","novel","putative"
"B2m_Hfe","B2m","beta-2-microglobulin","Hfe","hemochromatosis","","","","HPRD","STRING.binding","STRING.experiment","","HFE","","novel","literature supported"
"B2m_HLA-F","B2m","beta-2-microglobulin","HLA-F","major histocompatibility complex, class I, F","","","","HPRD","","","","","","novel","literature supported"
"B2m_Kir3dl1","B2m","beta-2-microglobulin","Kir3dl1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1","","","","","STRING.binding","STRING.experiment","","KIR2DL1","","novel","putative"
"B2m_Kir3dl1","B2m","beta-2-microglobulin","Kir3dl1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","","","","","STRING.binding","STRING.experiment","","KIR2DL3","","novel","putative"
"B2m_Kir3dl1","B2m","beta-2-microglobulin","Kir3dl1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","","","","","STRING.binding","STRING.experiment","","KIR3DL1","","novel","putative"
"B2m_Clec2m","B2m","beta-2-microglobulin","Clec2m","killer cell lectin-like receptor subfamily C, member 1","","","","","STRING.binding","STRING.experiment","","KLRC1","","novel","putative"
"B2m_Klrd1","B2m","beta-2-microglobulin","Klrd1","killer cell lectin-like receptor subfamily D, member 1","","","","","STRING.binding","STRING.experiment","","KLRD1","","novel","putative"
"B2m_LILRB1","B2m","beta-2-microglobulin","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","","","","HPRD","STRING.binding","STRING.experiment","","LILRB1","","novel","literature supported"
"B2m_LILRB2","B2m","beta-2-microglobulin","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","","","","","STRING.binding","STRING.experiment","","LILRB2","","novel","putative"
"B2m_Tfrc","B2m","beta-2-microglobulin","Tfrc","transferrin receptor","","","","","STRING.binding","STRING.experiment","","TFRC","","novel","putative"
"Bcan_Egfr","Bcan","brevican","Egfr","epidermal growth factor receptor","","","","","STRING.binding","","","EGFR","","novel","putative"
"Bcan_Nrcam","Bcan","brevican","Nrcam","neuronal cell adhesion molecule","","","","","STRING.binding","","","","","novel","putative"
"Bdnf_Ddr1","Bdnf","brain-derived neurotrophic factor","Ddr1","discoidin domain receptor tyrosine kinase 1","","","","","STRING.binding","","BDNF","DDR1","","novel","putative"
"Bdnf_Drd4","Bdnf","brain-derived neurotrophic factor","Drd4","dopamine receptor D4","","","","","STRING.binding","","BDNF","DRD4","","novel","putative"
"Bdnf_Ngfr","Bdnf","brain-derived neurotrophic factor","Ngfr","nerve growth factor receptor","DLRP","","IUPHAR","","STRING.binding","","BDNF","NGFR","","known","literature supported"
"Bdnf_NGFRAP1","Bdnf","brain-derived neurotrophic factor","NGFRAP1","nerve growth factor receptor (TNFRSF16) associated protein 1","","HPMR","","","","","BDNF","NGFRAP1","","known","literature supported"
"Bdnf_Ntrk2","Bdnf","brain-derived neurotrophic factor","Ntrk2","neurotrophic tyrosine kinase, receptor, type 2","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","BDNF","NTRK2","","known","literature supported"
