mgi_symbol	ensembl_gene_id	external_gene_name
4933402C06Rik	ENSMUSG00000102004	4933402C06Rik
Gm29638	ENSMUSG00000102084	Gm29638
4930435C17Rik	ENSMUSG00000102085	4930435C17Rik
Gm29296	ENSMUSG00000102124	Gm29296
Snrpn	ENSMUSG00000102252	Snrpn
Trbv12-3	ENSMUSG00000102327	Trbv12-3
Trbv18	ENSMUSG00000102409	Trbv18
Trbv7	ENSMUSG00000102622	Trbv7
Snurf	ENSMUSG00000102627	Snurf
Trbv8	ENSMUSG00000102821	Trbv8
Trbv11	ENSMUSG00000102903	Trbv11
Trbv24	ENSMUSG00000102955	Trbv24
Trbv22	ENSMUSG00000102988	Trbv22
5830405F06Rik	ENSMUSG00000103586	5830405F06Rik
Trbv6	ENSMUSG00000103807	Trbv6
Gm38102	ENSMUSG00000104156	Gm38102
Trbv9	ENSMUSG00000104198	Trbv9
5330439B14Rik	ENSMUSG00000104234	5330439B14Rik
Trbv27	ENSMUSG00000104254	Trbv27
Trbv28	ENSMUSG00000104326	Trbv28
Trbv25	ENSMUSG00000104473	Trbv25
Rbakdn	ENSMUSG00000104529	Rbakdn
Gm43739	ENSMUSG00000104532	Gm43739
Igkv5-40-1	ENSMUSG00000104533	Igkv5-40-1
Igkv13-57-2	ENSMUSG00000104551	Igkv13-57-2
Igkv9-119	ENSMUSG00000104575	Igkv9-119
Gm43409	ENSMUSG00000104606	Gm43409
Igkv13-76	ENSMUSG00000104609	Igkv13-76
Gm42421	ENSMUSG00000104633	Gm42421
Igkv4-60	ENSMUSG00000104679	Igkv4-60
Gm43001	ENSMUSG00000104681	Gm43001
Igkv12-67	ENSMUSG00000104697	Igkv12-67
Igkv4-75	ENSMUSG00000104712	Igkv4-75
Gm42500	ENSMUSG00000104727	Gm42500
Igkv9-128	ENSMUSG00000104742	Igkv9-128
Gm5565	ENSMUSG00000104752	Gm5565
Igkv3-8	ENSMUSG00000104760	Igkv3-8
Igkv8-34	ENSMUSG00000104769	Igkv8-34
Gm43476	ENSMUSG00000104778	Gm43476
Gm43661	ENSMUSG00000104818	Gm43661
Gm40330	ENSMUSG00000104825	Gm40330
Igkv15-102	ENSMUSG00000104832	Igkv15-102
1700041I07Rik	ENSMUSG00000104845	1700041I07Rik
Gm42924	ENSMUSG00000104849	Gm42924
1700008B11Rik	ENSMUSG00000104872	1700008B11Rik
Gm43397	ENSMUSG00000104875	Gm43397
Igkv14-134-1	ENSMUSG00000104883	Igkv14-134-1
Igkv13-74-1	ENSMUSG00000104922	Igkv13-74-1
Igkv1-136	ENSMUSG00000104931	Igkv1-136
Gm40323	ENSMUSG00000104932	Gm40323
Igkv11-118	ENSMUSG00000104934	Igkv11-118
4930573I07Rik	ENSMUSG00000104980	4930573I07Rik
Gm42917	ENSMUSG00000104985	Gm42917
2810432F15Rik	ENSMUSG00000104987	2810432F15Rik
Gm42925	ENSMUSG00000104995	Gm42925
Gm32585	ENSMUSG00000105039	Gm32585
Igkv1-108	ENSMUSG00000105043	Igkv1-108
Igkv12-66	ENSMUSG00000105110	Igkv12-66
Gm36667	ENSMUSG00000105227	Gm36667
Gm43091	ENSMUSG00000105239	Gm43091
Gm42542	ENSMUSG00000105267	Gm42542
Gm42875	ENSMUSG00000105271	Gm42875
1700048F04Rik	ENSMUSG00000105274	1700048F04Rik
Igkv13-54-1	ENSMUSG00000105301	Igkv13-54-1
4930572K03Rik	ENSMUSG00000105308	4930572K03Rik
Gm43583	ENSMUSG00000105313	Gm43583
Gm42953	ENSMUSG00000105316	Gm42953
Igkv15-101	ENSMUSG00000105319	Igkv15-101
Igkv13-62-1	ENSMUSG00000105323	Igkv13-62-1
Gm42423	ENSMUSG00000105335	Gm42423
Gm42878	ENSMUSG00000105340	Gm42878
BC030343	ENSMUSG00000105345	BC030343
Gm43604	ENSMUSG00000105349	Gm43604
Igkv11-114	ENSMUSG00000105363	Igkv11-114
Igkv13-57-1	ENSMUSG00000105369	Igkv13-57-1
Gm29681	ENSMUSG00000105387	Gm29681
Gm43301	ENSMUSG00000105430	Gm43301
Gm43218	ENSMUSG00000105432	Gm43218
Gm43220	ENSMUSG00000105451	Gm43220
Igkv4-77	ENSMUSG00000105462	Igkv4-77
Igkv2-113	ENSMUSG00000105463	Igkv2-113
Igkv13-78-1	ENSMUSG00000105480	Igkv13-78-1
4933438B17Rik	ENSMUSG00000105490	4933438B17Rik
Igkv3-11	ENSMUSG00000105499	Igkv3-11
Igkv13-80-1	ENSMUSG00000105539	Igkv13-80-1
Gm43475	ENSMUSG00000105575	Gm43475
Gm43777	ENSMUSG00000105583	Gm43777
Gm42952	ENSMUSG00000105593	Gm42952
Gm42838	ENSMUSG00000105604	Gm42838
Igkv2-109	ENSMUSG00000105606	Igkv2-109
Gm42543	ENSMUSG00000105630	Gm42543
Gm43625	ENSMUSG00000105636	Gm43625
Gm30211	ENSMUSG00000105646	Gm30211
Gm42889	ENSMUSG00000105650	Gm42889
Igkv8-22	ENSMUSG00000105668	Igkv8-22
1700081B01Rik	ENSMUSG00000105673	1700081B01Rik
Gm43703	ENSMUSG00000105699	Gm43703
Igkv12-49	ENSMUSG00000105725	Igkv12-49
Gm42456	ENSMUSG00000105736	Gm42456
Igkv13-64	ENSMUSG00000105747	Igkv13-64
Igkv13-82	ENSMUSG00000105752	Igkv13-82
Gm42425	ENSMUSG00000105759	Gm42425
4930563F08Rik	ENSMUSG00000105773	4930563F08Rik
Igkv8-31	ENSMUSG00000105781	Igkv8-31
Gm3970	ENSMUSG00000105795	Gm3970
Gm42626	ENSMUSG00000105809	Gm42626
Igkv15-97	ENSMUSG00000105817	Igkv15-97
Gm42808	ENSMUSG00000105845	Gm42808
9130604C24Rik	ENSMUSG00000105851	9130604C24Rik
Gm42817	ENSMUSG00000105857	Gm42817
Igkv3-12-1	ENSMUSG00000105862	Igkv3-12-1
Gm43518	ENSMUSG00000105875	Gm43518
4932422M17Rik	ENSMUSG00000105881	4932422M17Rik
Igkv4-65	ENSMUSG00000105883	Igkv4-65
Gm34333	ENSMUSG00000105907	Gm34333
Igkv12-42	ENSMUSG00000105915	Igkv12-42
Igkv12-40	ENSMUSG00000105955	Igkv12-40
Igkv13-71-1	ENSMUSG00000105968	Igkv13-71-1
Igkv13-73-1	ENSMUSG00000105989	Igkv13-73-1
Gm42980	ENSMUSG00000106015	Gm42980
Igkv4-56	ENSMUSG00000106016	Igkv4-56
4930573C15Rik	ENSMUSG00000106020	4930573C15Rik
4930500L23Rik	ENSMUSG00000106056	4930500L23Rik
Igkv2-105	ENSMUSG00000106066	Igkv2-105
4930404A12Rik	ENSMUSG00000106082	4930404A12Rik
Igkv14-118-2	ENSMUSG00000106098	Igkv14-118-2
Gm42539	ENSMUSG00000106124	Gm42539
4930520M14Rik	ENSMUSG00000106127	4930520M14Rik
Gm43495	ENSMUSG00000106155	Gm43495
Igkv15-101-1	ENSMUSG00000106187	Igkv15-101-1
Gm42504	ENSMUSG00000106198	Gm42504
Gm42918	ENSMUSG00000106209	Gm42918
Igkv13-55-1	ENSMUSG00000106213	Igkv13-55-1
Igkv13-61-1	ENSMUSG00000106216	Igkv13-61-1
Rprl1	ENSMUSG00000106222	Rprl1
Gm43586	ENSMUSG00000106226	Gm43586
Gm33347	ENSMUSG00000106235	Gm33347
Gm8066	ENSMUSG00000106237	Gm8066
Gm43720	ENSMUSG00000106247	Gm43720
Igkv12-47	ENSMUSG00000106256	Igkv12-47
Gm34086	ENSMUSG00000106261	Gm34086
Gm42495	ENSMUSG00000106275	Gm42495
Gm42958	ENSMUSG00000106298	Gm42958
Gm42720	ENSMUSG00000106315	Gm42720
Igkv2-93-1	ENSMUSG00000106318	Igkv2-93-1
Gm43645	ENSMUSG00000106338	Gm43645
Igkv14-126-1	ENSMUSG00000106372	Igkv14-126-1
Gm42945	ENSMUSG00000106378	Gm42945
Igkv2-95-1	ENSMUSG00000106381	Igkv2-95-1
Igkv4-73	ENSMUSG00000106387	Igkv4-73
Gm43562	ENSMUSG00000106393	Gm43562
Gm42439	ENSMUSG00000106395	Gm42439
Gm43284	ENSMUSG00000106401	Gm43284
Igkv20-101-2	ENSMUSG00000106403	Igkv20-101-2
Gm42667	ENSMUSG00000106428	Gm42667
Gm40348	ENSMUSG00000106466	Gm40348
Gm36551	ENSMUSG00000106478	Gm36551
Igkv14-118-1	ENSMUSG00000106480	Igkv14-118-1
Igkv2-107	ENSMUSG00000106494	Igkv2-107
Igkv13-56-1	ENSMUSG00000106546	Igkv13-56-1
B230303O12Rik	ENSMUSG00000106547	B230303O12Rik
Gm2479	ENSMUSG00000106555	Gm2479
Gm36266	ENSMUSG00000106617	Gm36266
Igkv2-116	ENSMUSG00000106630	Igkv2-116
Gm40331	ENSMUSG00000106644	Gm40331
Gm42839	ENSMUSG00000106663	Gm42839
Igkv3-6	ENSMUSG00000106667	Igkv3-6
Gm20005	ENSMUSG00000106674	Gm20005
Gm36447	ENSMUSG00000106692	Gm36447
Gm30270	ENSMUSG00000106709	Gm30270
Tmem265	ENSMUSG00000106715	Tmem265
Gm42556	ENSMUSG00000106719	Gm42556
Gm36186	ENSMUSG00000106733	Gm36186
Gm42962	ENSMUSG00000106737	Gm42962
Gm5	ENSMUSG00000106738	Gm5
Gm21221	ENSMUSG00000106740	Gm21221
Gm43151	ENSMUSG00000106750	Gm43151
Gm42529	ENSMUSG00000106764	Gm42529
Gm43150	ENSMUSG00000106777	Gm43150
Gm8579	ENSMUSG00000106779	Gm8579
4930553P18Rik	ENSMUSG00000106791	4930553P18Rik
Gm20756	ENSMUSG00000106799	Gm20756
D5Ertd605e	ENSMUSG00000106820	D5Ertd605e
Gm43156	ENSMUSG00000106845	Gm43156
Gm3289	ENSMUSG00000106871	Gm3289
BC049739	ENSMUSG00000106873	BC049739
Gm20186	ENSMUSG00000106874	Gm20186
Gm42791	ENSMUSG00000106892	Gm42791
Gm43598	ENSMUSG00000106927	Gm43598
5930430L01Rik	ENSMUSG00000106951	5930430L01Rik
Gm42882	ENSMUSG00000106969	Gm42882
Gm43690	ENSMUSG00000106980	Gm43690
Gm43293	ENSMUSG00000107010	Gm43293
Gm42906	ENSMUSG00000107011	Gm42906
Gm43635	ENSMUSG00000107013	Gm43635
Gm36669	ENSMUSG00000107022	Gm36669
Gm42715	ENSMUSG00000107023	Gm42715
Gm43298	ENSMUSG00000107047	Gm43298
Gm38901	ENSMUSG00000107060	Gm38901
Gm42742	ENSMUSG00000107068	Gm42742
Gm42420	ENSMUSG00000107071	Gm42420
Gm42884	ENSMUSG00000107090	Gm42884
Gm43452	ENSMUSG00000107093	Gm43452
Gm43597	ENSMUSG00000107096	Gm43597
Gm42931	ENSMUSG00000107110	Gm42931
Gm15997	ENSMUSG00000107132	Gm15997
Gm42787	ENSMUSG00000107133	Gm42787
Gm6598	ENSMUSG00000107143	Gm6598
Gm38404	ENSMUSG00000107153	Gm38404
Gm43069	ENSMUSG00000107179	Gm43069
Gm17768	ENSMUSG00000107181	Gm17768
Gm43067	ENSMUSG00000107204	Gm43067
4930524B17Rik	ENSMUSG00000107217	4930524B17Rik
Gm42738	ENSMUSG00000107219	Gm42738
Gm19265	ENSMUSG00000107230	Gm19265
Gm43129	ENSMUSG00000107241	Gm43129
Gm43634	ENSMUSG00000107253	Gm43634
BC028471	ENSMUSG00000107271	BC028471
Gm43450	ENSMUSG00000107279	Gm43450
Gm43500	ENSMUSG00000107296	Gm43500
Gm43332	ENSMUSG00000107313	Gm43332
Gm19719	ENSMUSG00000107317	Gm19719
Gm30003	ENSMUSG00000107318	Gm30003
4933439J24Rik	ENSMUSG00000107322	4933439J24Rik
1700065J11Rik	ENSMUSG00000107341	1700065J11Rik
Gm43479	ENSMUSG00000107365	Gm43479
1700018A23Rik	ENSMUSG00000107368	1700018A23Rik
Gm43126	ENSMUSG00000107379	Gm43126
Gm42557	ENSMUSG00000107384	Gm42557
5430435K18Rik	ENSMUSG00000107387	5430435K18Rik
Gm42788	ENSMUSG00000107388	Gm42788
1700012J15Rik	ENSMUSG00000107394	1700012J15Rik
4930425L21Rik	ENSMUSG00000107396	4930425L21Rik
Gm44115	ENSMUSG00000107405	Gm44115
1700040L08Rik	ENSMUSG00000107406	1700040L08Rik
1700065L07Rik	ENSMUSG00000107408	1700065L07Rik
Gm20383	ENSMUSG00000107412	Gm20383
Gm38839	ENSMUSG00000107419	Gm38839
Gm44129	ENSMUSG00000107422	Gm44129
Gm43948	ENSMUSG00000107427	Gm43948
Gm44206	ENSMUSG00000107429	Gm44206
Gm4640	ENSMUSG00000107434	Gm4640
Gm45060	ENSMUSG00000107439	Gm45060
Gm31747	ENSMUSG00000107441	Gm31747
Gm44421	ENSMUSG00000107451	Gm44421
Gm44145	ENSMUSG00000107453	Gm44145
Gm44040	ENSMUSG00000107458	Gm44040
Gm45234	ENSMUSG00000107478	Gm45234
2610300M13Rik	ENSMUSG00000107479	2610300M13Rik
4833403J16Rik	ENSMUSG00000107481	4833403J16Rik
Etfbl	ENSMUSG00000107482	Etfbl
Trbv4	ENSMUSG00000107486	Trbv4
4933431M02Rik	ENSMUSG00000107496	4933431M02Rik
Ccdc142	ENSMUSG00000107499	Ccdc142
Gm44009	ENSMUSG00000107503	Gm44009
Gm44941	ENSMUSG00000107509	Gm44941
Gm30784	ENSMUSG00000107516	Gm30784
Gm43994	ENSMUSG00000107521	Gm43994
Gm44071	ENSMUSG00000107525	Gm44071
1700003I16Rik	ENSMUSG00000107526	1700003I16Rik
Gm44442	ENSMUSG00000107528	Gm44442
Gm44127	ENSMUSG00000107538	Gm44127
Gm44790	ENSMUSG00000107539	Gm44790
Gm20560	ENSMUSG00000107546	Gm20560
Gm44096	ENSMUSG00000107552	Gm44096
Gm44199	ENSMUSG00000107560	Gm44199
Gm44264	ENSMUSG00000107561	Gm44264
4930587E11Rik	ENSMUSG00000107563	4930587E11Rik
Gm44176	ENSMUSG00000107579	Gm44176
3300002P13Rik	ENSMUSG00000107585	3300002P13Rik
Gm45021	ENSMUSG00000107588	Gm45021
Gm44097	ENSMUSG00000107593	Gm44097
Gm35216	ENSMUSG00000107598	Gm35216
Gm44117	ENSMUSG00000107605	Gm44117
Gm44196	ENSMUSG00000107614	Gm44196
Gm32479	ENSMUSG00000107619	Gm32479
4930512J16Rik	ENSMUSG00000107622	4930512J16Rik
Gm10415	ENSMUSG00000107623	Gm10415
Gm36816	ENSMUSG00000107634	Gm36816
1700069P05Rik	ENSMUSG00000107637	1700069P05Rik
Gm30524	ENSMUSG00000107638	Gm30524
Gm38804	ENSMUSG00000107640	Gm38804
Gm44166	ENSMUSG00000107651	Gm44166
Gm43894	ENSMUSG00000107652	Gm43894
4930563H07Rik	ENSMUSG00000107656	4930563H07Rik
Gm44170	ENSMUSG00000107659	Gm44170
Gm6559	ENSMUSG00000107660	Gm6559
Gm44107	ENSMUSG00000107663	Gm44107
4933406J09Rik	ENSMUSG00000107666	4933406J09Rik
C530044C16Rik	ENSMUSG00000107667	C530044C16Rik
Gm30332	ENSMUSG00000107675	Gm30332
4930404I20Rik	ENSMUSG00000107679	4930404I20Rik
4930528H21Rik	ENSMUSG00000107681	4930528H21Rik
Gm33024	ENSMUSG00000107682	Gm33024
Gm44386	ENSMUSG00000107689	Gm44386
Gm36355	ENSMUSG00000107704	Gm36355
Gm45062	ENSMUSG00000107705	Gm45062
9430018G01Rik	ENSMUSG00000107709	9430018G01Rik
Gm34933	ENSMUSG00000107714	Gm34933
Gm43964	ENSMUSG00000107723	Gm43964
Gm38910	ENSMUSG00000107728	Gm38910
Gm44238	ENSMUSG00000107730	Gm44238
Gm44204	ENSMUSG00000107732	Gm44204
Gm44148	ENSMUSG00000107736	Gm44148
1700027F06Rik	ENSMUSG00000107737	1700027F06Rik
1700072O05Rik	ENSMUSG00000107744	1700072O05Rik
Gm44073	ENSMUSG00000107766	Gm44073
Gm44448	ENSMUSG00000107767	Gm44448
Gm44275	ENSMUSG00000107768	Gm44275
Gm43971	ENSMUSG00000107773	Gm43971
Gm43974	ENSMUSG00000107774	Gm43974
Gm45083	ENSMUSG00000107785	Gm45083
Gm44965	ENSMUSG00000107789	Gm44965
Gm30557	ENSMUSG00000107791	Gm30557
Gm10445	ENSMUSG00000107797	Gm10445
Gm38825	ENSMUSG00000107799	Gm38825
1700126G02Rik	ENSMUSG00000107802	1700126G02Rik
Gm44000	ENSMUSG00000107811	Gm44000
Gm44257	ENSMUSG00000107815	Gm44257
Gm44296	ENSMUSG00000107825	Gm44296
4930434O05Rik	ENSMUSG00000107839	4930434O05Rik
Gm44089	ENSMUSG00000107842	Gm44089
Gm35822	ENSMUSG00000107847	Gm35822
Gm43904	ENSMUSG00000107849	Gm43904
Gm44110	ENSMUSG00000107855	Gm44110
Gm44151	ENSMUSG00000107862	Gm44151
Gm44072	ENSMUSG00000107864	Gm44072
Gm44511	ENSMUSG00000107872	Gm44511
Prpmp5	ENSMUSG00000107874	Prpmp5
Gm44696	ENSMUSG00000107875	Gm44696
Gm43936	ENSMUSG00000107876	Gm43936
9330102E08Rik	ENSMUSG00000107879	9330102E08Rik
Gm44113	ENSMUSG00000107880	Gm44113
Gm44278	ENSMUSG00000107882	Gm44278
Gm43950	ENSMUSG00000107887	Gm43950
1700094M24Rik	ENSMUSG00000107895	1700094M24Rik
Gm32592	ENSMUSG00000107902	Gm32592
Eif4a3l2	ENSMUSG00000107906	Eif4a3l2
4930504D19Rik	ENSMUSG00000107926	4930504D19Rik
Gm45140	ENSMUSG00000107928	Gm45140
4930595L18Rik	ENSMUSG00000107929	4930595L18Rik
Gm30498	ENSMUSG00000107933	Gm30498
Gm4872	ENSMUSG00000107935	Gm4872
Gm44066	ENSMUSG00000107946	Gm44066
AA545190	ENSMUSG00000107948	AA545190
Speer9-ps1	ENSMUSG00000107956	Speer9-ps1
Gm35077	ENSMUSG00000107960	Gm35077
Gm44036	ENSMUSG00000107961	Gm44036
Gm44085	ENSMUSG00000107969	Gm44085
Gm44109	ENSMUSG00000107978	Gm44109
Gm35037	ENSMUSG00000107985	Gm35037
Gm44006	ENSMUSG00000107988	Gm44006
G930045G22Rik	ENSMUSG00000107993	G930045G22Rik
Gm44123	ENSMUSG00000107999	Gm44123
Gm35386	ENSMUSG00000108003	Gm35386
Gm44418	ENSMUSG00000108006	Gm44418
Gm38708	ENSMUSG00000108010	Gm38708
Gm44596	ENSMUSG00000108011	Gm44596
Gm44012	ENSMUSG00000108012	Gm44012
Gm32591	ENSMUSG00000108015	Gm32591
6820426E19Rik	ENSMUSG00000108020	6820426E19Rik
Gm7298	ENSMUSG00000108022	Gm7298
Gm36503	ENSMUSG00000108025	Gm36503
Gm44271	ENSMUSG00000108027	Gm44271
Gm44284	ENSMUSG00000108033	Gm44284
4930557K07Rik	ENSMUSG00000108034	4930557K07Rik
D030044L04Rik	ENSMUSG00000108038	D030044L04Rik
Zim3	ENSMUSG00000108043	Zim3
Gm44028	ENSMUSG00000108062	Gm44028
Gm3279	ENSMUSG00000108063	Gm3279
Gm3455	ENSMUSG00000108071	Gm3455
Gm20362	ENSMUSG00000108072	Gm20362
Gm44210	ENSMUSG00000108079	Gm44210
Gm44026	ENSMUSG00000108081	Gm44026
Gm7932	ENSMUSG00000108084	Gm7932
A930014E10Rik	ENSMUSG00000108085	A930014E10Rik
Gm43893	ENSMUSG00000108087	Gm43893
Gm31108	ENSMUSG00000108094	Gm31108
Gm44067	ENSMUSG00000108095	Gm44067
Gm44081	ENSMUSG00000108103	Gm44081
Gm44287	ENSMUSG00000108109	Gm44287
Gm45901	ENSMUSG00000108111	Gm45901
Gm34312	ENSMUSG00000108118	Gm34312
4922502N22Rik	ENSMUSG00000108128	4922502N22Rik
Gm30781	ENSMUSG00000108130	Gm30781
Gm44175	ENSMUSG00000108132	Gm44175
Gm44053	ENSMUSG00000108137	Gm44053
Gm44079	ENSMUSG00000108141	Gm44079
Gm38811	ENSMUSG00000108145	Gm38811
Gm44020	ENSMUSG00000108148	Gm44020
Gm33201	ENSMUSG00000108151	Gm33201
Gm32914	ENSMUSG00000108161	Gm32914
Gm43915	ENSMUSG00000108171	Gm43915
Gm16499	ENSMUSG00000108175	Gm16499
4930511E03Rik	ENSMUSG00000108187	4930511E03Rik
Gm44731	ENSMUSG00000108190	Gm44731
Gm44410	ENSMUSG00000108192	Gm44410
Gm36328	ENSMUSG00000108196	Gm36328
Gm44214	ENSMUSG00000108197	Gm44214
Gm44427	ENSMUSG00000108206	Gm44427
Gm44172	ENSMUSG00000108213	Gm44172
6430584L05Rik	ENSMUSG00000108228	6430584L05Rik
Gm43916	ENSMUSG00000108232	Gm43916
0610033M10Rik	ENSMUSG00000108236	0610033M10Rik
Gm19757	ENSMUSG00000108237	Gm19757
Gm19434	ENSMUSG00000108239	Gm19434
Gm44077	ENSMUSG00000108244	Gm44077
Gm16499	ENSMUSG00000108255	Gm16499
Gm43913	ENSMUSG00000108258	Gm43913
Gm44169	ENSMUSG00000108274	Gm44169
Gm36640	ENSMUSG00000108276	Gm36640
Gm44317	ENSMUSG00000108282	Gm44317
Gm34358	ENSMUSG00000108285	Gm34358
Gm44202	ENSMUSG00000108288	Gm44202
Gm44174	ENSMUSG00000108289	Gm44174
Gm44226	ENSMUSG00000108298	Gm44226
Gm39075	ENSMUSG00000108303	Gm39075
Gm45218	ENSMUSG00000108308	Gm45218
Gm44737	ENSMUSG00000108311	Gm44737
Gm45052	ENSMUSG00000108313	Gm45052
Gm44601	ENSMUSG00000108315	Gm44601
Gm44877	ENSMUSG00000108320	Gm44877
Gm44649	ENSMUSG00000108321	Gm44649
5430431A17Rik	ENSMUSG00000108322	5430431A17Rik
Gm44939	ENSMUSG00000108327	Gm44939
Gm44725	ENSMUSG00000108329	Gm44725
D530033B14Rik	ENSMUSG00000108332	D530033B14Rik
Gm45095	ENSMUSG00000108333	Gm45095
Gm30771	ENSMUSG00000108334	Gm30771
4933435G04Rik	ENSMUSG00000108345	4933435G04Rik
Gm36736	ENSMUSG00000108351	Gm36736
9130221F21Rik	ENSMUSG00000108356	9130221F21Rik
Gm36159	ENSMUSG00000108360	Gm36159
Gm38997	ENSMUSG00000108364	Gm38997
Erfl	ENSMUSG00000108367	Erfl
Gm38832	ENSMUSG00000108371	Gm38832
Gm45168	ENSMUSG00000108373	Gm45168
A730082K24Rik	ENSMUSG00000108379	A730082K24Rik
4930448A20Rik	ENSMUSG00000108382	4930448A20Rik
Gm6567	ENSMUSG00000108383	Gm6567
Gm44730	ENSMUSG00000108385	Gm44730
Gm32633	ENSMUSG00000108393	Gm32633
Gm34811	ENSMUSG00000108395	Gm34811
1700025J12Rik	ENSMUSG00000108409	1700025J12Rik
Gm44818	ENSMUSG00000108411	Gm44818
BC026762	ENSMUSG00000108413	BC026762
Gm30146	ENSMUSG00000108415	Gm30146
Gm30928	ENSMUSG00000108417	Gm30928
Gm45020	ENSMUSG00000108419	Gm45020
Gm44718	ENSMUSG00000108421	Gm44718
Gm44706	ENSMUSG00000108425	Gm44706
Gm36696	ENSMUSG00000108427	Gm36696
Gm45058	ENSMUSG00000108428	Gm45058
Gm42375	ENSMUSG00000108431	Gm42375
Gm44756	ENSMUSG00000108432	Gm44756
Gm45051	ENSMUSG00000108435	Gm45051
Gm44851	ENSMUSG00000108436	Gm44851
Gm32846	ENSMUSG00000108441	Gm32846
Gm21269	ENSMUSG00000108448	Gm21269
Gm44507	ENSMUSG00000108449	Gm44507
4732496C06Rik	ENSMUSG00000108456	4732496C06Rik
Gm30459	ENSMUSG00000108468	Gm30459
Gm45054	ENSMUSG00000108469	Gm45054
Gm4598	ENSMUSG00000108470	Gm4598
Gm44739	ENSMUSG00000108473	Gm44739
Gm36633	ENSMUSG00000108480	Gm36633
Gm45184	ENSMUSG00000108483	Gm45184
Gm45025	ENSMUSG00000108489	Gm45025
1700110I07Rik	ENSMUSG00000108490	1700110I07Rik
Gm44738	ENSMUSG00000108497	Gm44738
Gm4265	ENSMUSG00000108504	Gm4265
1700095K22Rik	ENSMUSG00000108505	1700095K22Rik
Gm44780	ENSMUSG00000108509	Gm44780
Gm44987	ENSMUSG00000108511	Gm44987
Gm30075	ENSMUSG00000108513	Gm30075
4933430L12Rik	ENSMUSG00000108523	4933430L12Rik
Gm44876	ENSMUSG00000108524	Gm44876
4930429H19Rik	ENSMUSG00000108530	4930429H19Rik
Gm39091	ENSMUSG00000108531	Gm39091
Gm32647	ENSMUSG00000108532	Gm32647
Gm44613	ENSMUSG00000108545	Gm44613
Gm44662	ENSMUSG00000108546	Gm44662
Gm44736	ENSMUSG00000108550	Gm44736
Gm38569	ENSMUSG00000108553	Gm38569
Gm44686	ENSMUSG00000108563	Gm44686
Gm35665	ENSMUSG00000108575	Gm35665
Gm44778	ENSMUSG00000108576	Gm44778
Gm29918	ENSMUSG00000108579	Gm29918
Gm39094	ENSMUSG00000108580	Gm39094
Gm44854	ENSMUSG00000108583	Gm44854
1810049I09Rik	ENSMUSG00000108587	1810049I09Rik
Gm44581	ENSMUSG00000108593	Gm44581
Gm49368	ENSMUSG00000108596	Gm49368
Gm32884	ENSMUSG00000108600	Gm32884
5330411O13Rik	ENSMUSG00000108603	5330411O13Rik
Gm44850	ENSMUSG00000108604	Gm44850
Gm36694	ENSMUSG00000108613	Gm36694
Gm35040	ENSMUSG00000108616	Gm35040
Gm31749	ENSMUSG00000108617	Gm31749
Gm44839	ENSMUSG00000108619	Gm44839
Gm20670	ENSMUSG00000108620	Gm20670
Gm37494	ENSMUSG00000108621	Gm37494
Gm36864	ENSMUSG00000108622	Gm36864
Gm45092	ENSMUSG00000108623	Gm45092
Gm45091	ENSMUSG00000108624	Gm45091
Gm40457	ENSMUSG00000108626	Gm40457
Gm45079	ENSMUSG00000108627	Gm45079
Gm44633	ENSMUSG00000108635	Gm44633
Gm44920	ENSMUSG00000108644	Gm44920
Gm44674	ENSMUSG00000108648	Gm44674
0610006L08Rik	ENSMUSG00000108652	0610006L08Rik
Gm44949	ENSMUSG00000108655	Gm44949
Gm35611	ENSMUSG00000108657	Gm35611
Gm21284	ENSMUSG00000108660	Gm21284
4930441H08Rik	ENSMUSG00000108669	4930441H08Rik
Gm44970	ENSMUSG00000108675	Gm44970
1700123J17Rik	ENSMUSG00000108676	1700123J17Rik
Gm44759	ENSMUSG00000108677	Gm44759
Gm45017	ENSMUSG00000108683	Gm45017
Gm2511	ENSMUSG00000108695	Gm2511
Gm44793	ENSMUSG00000108703	Gm44793
4933431G14Rik	ENSMUSG00000108709	4933431G14Rik
Gm38991	ENSMUSG00000108711	Gm38991
Gm33027	ENSMUSG00000108713	Gm33027
Gm21057	ENSMUSG00000108714	Gm21057
Gm44672	ENSMUSG00000108720	Gm44672
Gm34225	ENSMUSG00000108722	Gm34225
Gm44837	ENSMUSG00000108723	Gm44837
Gm44734	ENSMUSG00000108724	Gm44734
Gm45004	ENSMUSG00000108725	Gm45004
Gm30684	ENSMUSG00000108726	Gm30684
Gm45151	ENSMUSG00000108736	Gm45151
Gm44777	ENSMUSG00000108738	Gm44777
Gm45096	ENSMUSG00000108739	Gm45096
Gm44767	ENSMUSG00000108749	Gm44767
Gm44748	ENSMUSG00000108754	Gm44748
Gm45202	ENSMUSG00000108757	Gm45202
Gm31897	ENSMUSG00000108760	Gm31897
Gm44506	ENSMUSG00000108773	Gm44506
Gm45169	ENSMUSG00000108776	Gm45169
Gm45081	ENSMUSG00000108777	Gm45081
Gm20083	ENSMUSG00000108778	Gm20083
Gm44707	ENSMUSG00000108781	Gm44707
Gm32772	ENSMUSG00000108782	Gm32772
Gm36546	ENSMUSG00000108783	Gm36546
4921513I08Rik	ENSMUSG00000108788	4921513I08Rik
1700011D18Rik	ENSMUSG00000108791	1700011D18Rik
Gm45213	ENSMUSG00000108793	Gm45213
