	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Dnah5	0	0.700650647507034	0.622	0.166	0	Ependymal-A	Dnah5
C230072F16Rik	0	0.699398405647925	0.62	0.107	0	Ependymal-A	C230072F16Rik
Cfap43	0	0.696934485391907	0.626	0.147	0	Ependymal-A	Cfap43
Gm14964	0	0.694082713151179	0.847	0.325	0	Ependymal-A	Gm14964
Cfap20	0	0.690085173500441	0.842	0.427	0	Ependymal-A	Cfap20
Dnah9	0	0.689430814977255	0.619	0.137	0	Ependymal-A	Dnah9
Nme5	0	0.68746935715255	0.849	0.309	0	Ependymal-A	Nme5
Cep126	0	0.687136915848004	0.584	0.144	0	Ependymal-A	Cep126
Ccdc114	0	0.682230959047256	0.7	0.215	0	Ependymal-A	Ccdc114
Fam166b	0	0.681503021151336	0.731	0.178	0	Ependymal-A	Fam166b
Hspa4l	0	0.679025488810474	0.761	0.407	0	Ependymal-A	Hspa4l
Ccdc146	0	0.678437240200427	0.673	0.169	0	Ependymal-A	Ccdc146
Mt3	0	0.675518451973654	1	0.905	0	Ependymal-A	Mt3
Cfap161	0	0.674011586863223	0.71	0.171	0	Ependymal-A	Cfap161
Ifitm3	0	0.67022283140039	0.999	0.659	0	Ependymal-A	Ifitm3
Spag6l	0	0.666182668750824	0.714	0.186	0	Ependymal-A	Spag6l
Tctex1d4	0	0.660571030599146	0.651	0.149	0	Ependymal-A	Tctex1d4
1700001L19Rik	0	0.657613703396162	0.686	0.171	0	Ependymal-A	1700001L19Rik
Rbpms	0	0.652576905663181	0.608	0.173	0	Ependymal-A	Rbpms
1700088E04Rik	0	0.651626616477177	0.822	0.313	0	Ependymal-A	1700088E04Rik
Msi2	0	0.65105338385996	0.802	0.537	0	Ependymal-A	Msi2
Slc38a1	0	0.650061542587805	0.823	0.514	0	Ependymal-A	Slc38a1
Vit	0	0.645306488241983	0.693	0.207	0	Ependymal-A	Vit
Dbi	0	0.644801831394518	1	0.996	0	Ependymal-A	Dbi
Ccdc34	0	0.6439619797271	0.926	0.565	0	Ependymal-A	Ccdc34
Tekt1	0	0.641918779462799	0.803	0.285	0	Ependymal-A	Tekt1
Nkx6-1	0	0.640607159091549	0.698	0.216	0	Ependymal-A	Nkx6-1
Cetn2	0	0.639721087006408	0.913	0.577	0	Ependymal-A	Cetn2
Itm2c	0	0.638237315452032	0.984	0.867	0	Ependymal-A	Itm2c
Efcab10	0	0.637278225376093	0.705	0.191	0	Ependymal-A	Efcab10
Spa17	0	0.635578129793535	0.733	0.259	0	Ependymal-A	Spa17
Capsl	0	0.632482692420788	0.77	0.241	0	Ependymal-A	Capsl
Dnajc3	0	0.630418883530708	0.872	0.609	0	Ependymal-A	Dnajc3
Wdr66	0	0.630346425428603	0.653	0.194	0	Ependymal-A	Wdr66
Slc26a3	0	0.630162475955326	0.628	0.144	0	Ependymal-A	Slc26a3
Nr2f1	0	0.629886102051282	0.743	0.37	0	Ependymal-A	Nr2f1
Drc1	0	0.629134892206584	0.675	0.176	0	Ependymal-A	Drc1
Cfap65	0	0.627627709532516	0.569	0.109	0	Ependymal-A	Cfap65
Efcab1	0	0.623513344274346	0.702	0.201	0	Ependymal-A	Efcab1
Adamts20	0	0.619553350172082	0.598	0.144	0	Ependymal-A	Adamts20
Lrriq1	0	0.61865176628481	0.602	0.153	0	Ependymal-A	Lrriq1
Ccdc33	0	0.618393504776877	0.576	0.108	0	Ependymal-A	Ccdc33
Strbp	0	0.618384261721589	0.666	0.299	0	Ependymal-A	Strbp
Cfap52	0	0.616860336928628	0.693	0.189	0	Ependymal-A	Cfap52
Pi15	0	0.616411535844158	0.497	0.093	0	Ependymal-A	Pi15
Rmst	0	0.615948595472338	0.612	0.193	0	Ependymal-A	Rmst
Cfap299	0	0.612880422415298	0.699	0.205	0	Ependymal-A	Cfap299
Tubb4b	0	0.610874172233818	0.965	0.792	0	Ependymal-A	Tubb4b
Chchd10	0	0.609227826971184	0.996	0.638	0	Ependymal-A	Chchd10
Nin	0	0.608229642970274	0.609	0.233	0	Ependymal-A	Nin
Gm16201	0	0.605432847646715	0.439	0.05	0	Ependymal-A	Gm16201
Drc7	0	0.602624667757358	0.615	0.147	0	Ependymal-A	Drc7
Ccdc30	0	0.601568263311982	0.598	0.162	0	Ependymal-A	Ccdc30
Cfap206	0	0.599100032218146	0.667	0.183	0	Ependymal-A	Cfap206
Rabl2	0	0.599044320993507	0.745	0.306	0	Ependymal-A	Rabl2
Cdhr3	0	0.596749000462121	0.532	0.097	0	Ependymal-A	Cdhr3
Cfap69	0	0.595015013211255	0.603	0.165	0	Ependymal-A	Cfap69
Crygn	0	0.593644465982818	0.68	0.226	0	Ependymal-A	Crygn
Cfap97d2	0	0.592221274713659	0.619	0.145	0	Ependymal-A	Cfap97d2
Smim5	0	0.590037255367441	0.647	0.162	0	Ependymal-A	Smim5
Hdc	0	0.58734107922548	0.619	0.155	0	Ependymal-A	Hdc
Chek2	0	0.58733993141415	0.614	0.186	0	Ependymal-A	Chek2
Gsta4	0	0.586854801422423	0.853	0.395	0	Ependymal-A	Gsta4
Traf1	0	0.585612553425226	0.591	0.16	0	Ependymal-A	Traf1
Cfap77	0	0.572706677156764	0.659	0.192	0	Ependymal-A	Cfap77
Wdr35	0	0.571730527800487	0.607	0.211	0	Ependymal-A	Wdr35
Folr1	0	0.571618736121658	0.596	0.164	0	Ependymal-A	Folr1
Wwc1	0	0.570969913570024	0.601	0.22	0	Ependymal-A	Wwc1
Dnaja4	0	0.570959816130748	0.636	0.239	0	Ependymal-A	Dnaja4
Oscp1	0	0.570650574015853	0.736	0.29	0	Ependymal-A	Oscp1
Zbtb20	0	0.566975506356935	0.966	0.842	0	Ependymal-A	Zbtb20
Ucp2	0	0.564172602670553	0.749	0.335	0	Ependymal-A	Ucp2
Gas6	0	0.563678188051084	0.686	0.309	0	Ependymal-A	Gas6
Lrrc23	0	0.563439129069856	0.589	0.143	0	Ependymal-A	Lrrc23
Cmtm8	0	0.563379515107319	0.563	0.16	0	Ependymal-A	Cmtm8
Ccdc180	0	0.561293136149973	0.539	0.107	0	Ependymal-A	Ccdc180
Catip	0	0.560632917615565	0.644	0.184	0	Ependymal-A	Catip
Usp2	0	0.560593065941776	0.695	0.317	0	Ependymal-A	Usp2
Clu	0	0.555928700531089	0.999	0.744	0	Ependymal-A	Clu
6820408C15Rik	0	0.555570287224437	0.584	0.141	0	Ependymal-A	6820408C15Rik
Cdkl4	0	0.552406841261807	0.555	0.116	0	Ependymal-A	Cdkl4
Uckl1os	0	0.551553744287444	0.542	0.112	0	Ependymal-A	Uckl1os
Esyt2	0	0.550554562423287	0.634	0.28	0	Ependymal-A	Esyt2
Endog	0	0.548977543742663	0.694	0.284	0	Ependymal-A	Endog
Dgat2	0	0.547904419629823	0.611	0.186	0	Ependymal-A	Dgat2
Dnah11	0	0.544375036904332	0.503	0.109	0	Ependymal-A	Dnah11
Spef1	0	0.543441500455906	0.635	0.18	0	Ependymal-A	Spef1
Fam81b	0	0.541616175172146	0.519	0.102	0	Ependymal-A	Fam81b
Spag17	0	0.540055106100938	0.489	0.113	0	Ependymal-A	Spag17
Ttc8	0	0.53740013451786	0.638	0.254	0	Ependymal-A	Ttc8
Pih1d2	0	0.537112087208981	0.63	0.2	0	Ependymal-A	Pih1d2
4930578M01Rik	0	0.536486975823196	0.453	0.086	0	Ependymal-A	4930578M01Rik
Nuf2	0	0.53623071479562	0.627	0.217	0	Ependymal-A	Nuf2
Mlc1	0	0.534273909563538	0.861	0.407	0	Ependymal-A	Mlc1
Bbox1	0	0.533511388303083	0.628	0.17	0	Ependymal-A	Bbox1
Pacrg	0	0.531977500775898	0.712	0.253	0	Ependymal-A	Pacrg
St3gal6	0	0.531336729508003	0.71	0.328	0	Ependymal-A	St3gal6
Ttc30b	0	0.530781434220812	0.655	0.213	0	Ependymal-A	Ttc30b
Bicc1	0	0.526280262231305	0.564	0.196	0	Ependymal-A	Bicc1
Cfap46	0	0.52500643958496	0.504	0.104	0	Ependymal-A	Cfap46
1700028P14Rik	0	0.524113204008844	0.627	0.171	0	Ependymal-A	1700028P14Rik
Dthd1	0	0.520410240253189	0.516	0.121	0	Ependymal-A	Dthd1
Atp2b4	0	0.519109796586956	0.611	0.238	0	Ependymal-A	Atp2b4
Ccdc81	0	0.518267310836306	0.516	0.103	0	Ependymal-A	Ccdc81
Bace2	0	0.514747991043499	0.632	0.224	0	Ependymal-A	Bace2
Slc14a2	0	0.509580894966453	0.517	0.134	0	Ependymal-A	Slc14a2
Wdr60	0	0.507726923784245	0.6	0.23	0	Ependymal-A	Wdr60
Cetn4	0	0.506973739009408	0.683	0.286	0	Ependymal-A	Cetn4
Rbfox1	0	0.505557965355804	0.518	0.145	0	Ependymal-A	Rbfox1
C1qtnf3	0	0.504754507594512	0.47	0.099	0	Ependymal-A	C1qtnf3
Cep83	0	0.5044551651671	0.594	0.237	0	Ependymal-A	Cep83
Rsph9	0	0.50347320260242	0.698	0.285	0	Ependymal-A	Rsph9
Dnaic1	0	0.502529396584482	0.513	0.105	0	Ependymal-A	Dnaic1
Ppil6	0	0.501143638861838	0.581	0.161	0	Ependymal-A	Ppil6
Spag16	0	0.500190808920609	0.509	0.105	0	Ependymal-A	Spag16
Stmnd1	0	0.500185402647838	0.491	0.1	0	Ependymal-A	Stmnd1
Spag8	0	0.499505977656285	0.528	0.121	0	Ependymal-A	Spag8
Morn5	0	0.497398183196786	0.558	0.145	0	Ependymal-A	Morn5
Vwa3a	0	0.493840615091441	0.508	0.111	0	Ependymal-A	Vwa3a
Acss3	0	0.493465106805141	0.451	0.07	0	Ependymal-A	Acss3
Eno4	0	0.493151370054504	0.545	0.138	0	Ependymal-A	Eno4
Crocc	0	0.492996211394093	0.465	0.089	0	Ependymal-A	Crocc
Tekt4	0	0.492850017257291	0.494	0.102	0	Ependymal-A	Tekt4
Ppp1r32	0	0.492160415793035	0.526	0.126	0	Ependymal-A	Ppp1r32
Ccpg1os	0	0.490715728190281	0.663	0.262	0	Ependymal-A	Ccpg1os
Cfap70	0	0.490654091075826	0.494	0.108	0	Ependymal-A	Cfap70
Dnajc6	0	0.489394490800196	0.474	0.108	0	Ependymal-A	Dnajc6
Dcdc2a	0	0.488943126460258	0.533	0.157	0	Ependymal-A	Dcdc2a
Myb	0	0.488519488750041	0.419	0.068	0	Ependymal-A	Myb
Ttll3	0	0.487454820835589	0.532	0.146	0	Ependymal-A	Ttll3
Calm1	0	0.483124198692127	1	0.982	0	Ependymal-A	Calm1
Khk	0	0.483046160277506	0.556	0.164	0	Ependymal-A	Khk
Tsga10	0	0.479501225996949	0.486	0.131	0	Ependymal-A	Tsga10
Rgs22	0	0.473600987691114	0.437	0.096	0	Ependymal-A	Rgs22
Iqub	0	0.473401727030301	0.486	0.109	0	Ependymal-A	Iqub
Spint2	0	0.472407636671842	0.68	0.261	0	Ependymal-A	Spint2
Wdr63	0	0.470767216880268	0.466	0.093	0	Ependymal-A	Wdr63
Fbxo36	0	0.470165168992091	0.628	0.24	0	Ependymal-A	Fbxo36
Fank1	0	0.469234697258078	0.516	0.129	0	Ependymal-A	Fank1
4833427G06Rik	0	0.466642835448179	0.497	0.115	0	Ependymal-A	4833427G06Rik
Kcnn3	0	0.46641416420528	0.474	0.108	0	Ependymal-A	Kcnn3
Cabcoco1	0	0.465953034998058	0.46	0.093	0	Ependymal-A	Cabcoco1
Dnal1	0	0.465780889167943	0.501	0.142	0	Ependymal-A	Dnal1
Maats1	0	0.465597701798253	0.492	0.11	0	Ependymal-A	Maats1
Ccdc162	0	0.464915946454716	0.44	0.072	0	Ependymal-A	Ccdc162
Gm11992	0	0.464603652176802	0.558	0.158	0	Ependymal-A	Gm11992
Lrrc10b	0	0.464578300517865	0.476	0.11	0	Ependymal-A	Lrrc10b
Lrp2	0	0.463679735031738	0.454	0.104	0	Ependymal-A	Lrp2
Ttc21a	0	0.462116298989015	0.49	0.111	0	Ependymal-A	Ttc21a
Tctex1d1	0	0.460542761624701	0.541	0.134	0	Ependymal-A	Tctex1d1
Fam47e	0	0.456385170873039	0.485	0.107	0	Ependymal-A	Fam47e
Acot5	0	0.455740107946944	0.541	0.143	0	Ependymal-A	Acot5
Ttc25	0	0.452216297107246	0.492	0.121	0	Ependymal-A	Ttc25
Cfap53	0	0.451677366269165	0.474	0.103	0	Ependymal-A	Cfap53
Ddo	0	0.451371072191439	0.519	0.149	0	Ependymal-A	Ddo
Naaa	0	0.451243794423787	0.58	0.188	0	Ependymal-A	Naaa
T2	0	0.450655067072175	0.395	0.048	0	Ependymal-A	T2
Lca5	0	0.45047729161838	0.473	0.138	0	Ependymal-A	Lca5
Ift80	0	0.449969758784503	0.523	0.177	0	Ependymal-A	Ift80
Mapk15	0	0.449518172651879	0.565	0.158	0	Ependymal-A	Mapk15
Ccdc40	0	0.448101829258924	0.471	0.109	0	Ependymal-A	Ccdc40
Lrrc36	0	0.447385763159696	0.47	0.083	0	Ependymal-A	Lrrc36
Ccdc96	0	0.444197296940605	0.484	0.123	0	Ependymal-A	Ccdc96
Tctn2	0	0.436497990283635	0.412	0.085	0	Ependymal-A	Tctn2
Kif9	0	0.435183540324259	0.549	0.154	0	Ependymal-A	Kif9
Armc4	0	0.434003726200861	0.463	0.113	0	Ependymal-A	Armc4
Dsc3	0	0.433671502441754	0.369	0.062	0	Ependymal-A	Dsc3
Ubxn10	0	0.432671467218851	0.464	0.1	0	Ependymal-A	Ubxn10
Lrrc74b	0	0.429018917235646	0.415	0.069	0	Ependymal-A	Lrrc74b
Zmynd10	0	0.421989958880262	0.451	0.092	0	Ependymal-A	Zmynd10
Akap14	0	0.418052891732873	0.474	0.112	0	Ependymal-A	Akap14
Crb2	0	0.414876429286528	0.408	0.08	0	Ependymal-A	Crb2
Tango6	0	0.406439784862057	0.455	0.107	0	Ependymal-A	Tango6
Zfp474	0	0.405043078162571	0.431	0.091	0	Ependymal-A	Zfp474
Rsph10b	0	0.403352559452893	0.431	0.105	0	Ependymal-A	Rsph10b
Adgb	0	0.402614113435054	0.422	0.091	0	Ependymal-A	Adgb
Morn3	0	0.401255981420756	0.385	0.078	0	Ependymal-A	Morn3
Mak	0	0.399874780482574	0.42	0.092	0	Ependymal-A	Mak
Armc3	0	0.398476915370638	0.421	0.1	0	Ependymal-A	Armc3
Col8a2	0	0.395220873059879	0.449	0.111	0	Ependymal-A	Col8a2
Synpo2	0	0.393536181040846	0.408	0.095	0	Ependymal-A	Synpo2
Casc1	0	0.392075178727021	0.402	0.084	0	Ependymal-A	Casc1
Lrrc46	0	0.390572503391	0.442	0.107	0	Ependymal-A	Lrrc46
Gm16006	0	0.389935206885258	0.407	0.09	0	Ependymal-A	Gm16006
Mycbpap	0	0.389656120181856	0.393	0.07	0	Ependymal-A	Mycbpap
Dnah1	0	0.387604580063349	0.4	0.08	0	Ependymal-A	Dnah1
2010204K13Rik	0	0.38705375413982	0.353	0.072	0	Ependymal-A	2010204K13Rik
Lrrc6	0	0.386670102954786	0.395	0.071	0	Ependymal-A	Lrrc6
Dzank1	0	0.381030150093456	0.397	0.091	0	Ependymal-A	Dzank1
Ak9	0	0.38097958966193	0.365	0.062	0	Ependymal-A	Ak9
Dnaaf4	0	0.380675348970837	0.391	0.084	0	Ependymal-A	Dnaaf4
Iqcd	0	0.37991895858369	0.368	0.068	0	Ependymal-A	Iqcd
Ccdc65	0	0.378916828095776	0.449	0.107	0	Ependymal-A	Ccdc65
Lrguk	0	0.370423426928192	0.377	0.067	0	Ependymal-A	Lrguk
Gm29538	0	0.368746090626587	0.324	0.056	0	Ependymal-A	Gm29538
Frmpd2	0	0.365828138787351	0.331	0.044	0	Ependymal-A	Frmpd2
Efhb	0	0.364068808160397	0.387	0.086	0	Ependymal-A	Efhb
Rfx2	0	0.362484471963279	0.41	0.093	0	Ependymal-A	Rfx2
Syt10	0	0.361365252368078	0.373	0.073	0	Ependymal-A	Syt10
Dnah7b	0	0.3531008640971	0.373	0.083	0	Ependymal-A	Dnah7b
Ankrd45	0	0.351637340173401	0.387	0.078	0	Ependymal-A	Ankrd45
Tmem232	0	0.351223388759954	0.332	0.052	0	Ependymal-A	Tmem232
BC051019	0	0.344032287915462	0.311	0.049	0	Ependymal-A	BC051019
Dnah2	0	0.342442233562431	0.358	0.072	0	Ependymal-A	Dnah2
Efcab12	0	0.341872067369437	0.348	0.064	0	Ependymal-A	Efcab12
Gm28729	0	0.324548249933167	0.307	0.039	0	Ependymal-A	Gm28729
Scnn1a	0	0.31264760745423	0.338	0.059	0	Ependymal-A	Scnn1a
Dnah10	0	0.310246005075828	0.26	0.03	0	Ependymal-A	Dnah10
Map3k19	0	0.309403683351825	0.306	0.046	0	Ependymal-A	Map3k19
Ttc29	0	0.29651019057518	0.302	0.049	0	Ependymal-A	Ttc29
Rpgr	5.50307143171202e-308	0.444326949898956	0.551	0.19	1.8257540088991e-303	Ependymal-A	Rpgr
Phkg1	8.93703902778136e-308	0.42768985927786	0.529	0.159	2.96504143824702e-303	Ependymal-A	Phkg1
mt-Nd4	3.04379450410336e-307	0.378491365517318	1	0.997	1.00983970262637e-302	Ependymal-A	mt-Nd4
Cep290	5.10670897403936e-307	0.579573464273719	0.588	0.238	1.69425283631704e-302	Ependymal-A	Cep290
Itpkb	3.34589578708363e-305	0.580040976045137	0.805	0.45	1.11006784528074e-300	Ependymal-A	Itpkb
mt-Cytb	1.88115410178081e-304	0.36179554919182	1	0.999	6.24110496347821e-300	Ependymal-A	mt-Cytb
Ly6h	1.87305093279563e-303	0.816454915174851	0.788	0.467	6.21422107973606e-299	Ependymal-A	Ly6h
Calb1	2.5025987127862e-303	0.467939661955941	0.327	0.061	8.30287174941077e-299	Ependymal-A	Calb1
Reln	9.08593298979451e-303	0.353713909088079	0.371	0.082	3.01443998802413e-298	Ependymal-A	Reln
Tmem67	3.13185811230632e-302	0.39884700796583	0.447	0.127	1.03905656591987e-297	Ependymal-A	Tmem67
Ccdc74a	7.91348784433584e-302	0.455009300327293	0.579	0.206	2.6254578621153e-297	Ependymal-A	Ccdc74a
Ttll6	1.79199081351853e-300	0.342037397737042	0.384	0.089	5.94528792201042e-296	Ependymal-A	Ttll6
Lrrc71	2.24105056557357e-300	0.355506072436274	0.379	0.087	7.43513346140342e-296	Ependymal-A	Lrrc71
Cspp1	1.45800130193532e-299	0.580998224684829	0.712	0.371	4.83721091943082e-295	Ependymal-A	Cspp1
2610301B20Rik	7.10169171571517e-299	0.47742412568703	0.66	0.288	2.35612826052282e-294	Ependymal-A	2610301B20Rik
Hopx	1.18104487865135e-298	0.487255784382576	0.603	0.239	3.9183525939016e-294	Ependymal-A	Hopx
Zcchc18	3.86358799891e-298	0.536675810321701	0.803	0.459	1.28182259039837e-293	Ependymal-A	Zcchc18
Arvcf	3.92754417486175e-297	0.489319588907496	0.544	0.195	1.30304133089388e-292	Ependymal-A	Arvcf
Zp3	2.67515116718918e-296	0.366643522274168	0.402	0.095	8.87534902738355e-292	Ependymal-A	Zp3
Nudc	5.14499332643855e-296	0.461360730515921	0.966	0.805	1.70695443591252e-291	Ependymal-A	Nudc
Klf2	2.29412623931318e-294	0.884214540571519	0.713	0.365	7.61122262416935e-290	Ependymal-A	Klf2
Fosb	1.29962787937216e-293	0.726522065649571	0.812	0.467	4.31177541539302e-289	Ependymal-A	Fosb
1700030J22Rik	8.42579866135903e-293	0.334730841609847	0.344	0.073	2.79542722187909e-288	Ependymal-A	1700030J22Rik
Ipo11	1.17929686616442e-292	0.471581005438147	0.612	0.241	3.9125532128737e-288	Ependymal-A	Ipo11
Ubxn11	2.66804806436464e-292	0.406733503988714	0.513	0.164	8.85178306314257e-288	Ependymal-A	Ubxn11
Ccdc173	1.11203228712643e-291	0.40614228357645	0.466	0.138	3.68938951899935e-287	Ependymal-A	Ccdc173
Ift81	1.34282771798937e-291	0.475959640834118	0.592	0.237	4.45509951997332e-287	Ependymal-A	Ift81
Vwa5b1	4.03266020942825e-290	0.318263248753442	0.327	0.065	1.33791567768201e-285	Ependymal-A	Vwa5b1
Anxa5	1.00569342521239e-289	0.515347033030034	0.963	0.616	3.33658907682713e-285	Ependymal-A	Anxa5
Celsr1	1.07686938528288e-289	0.389994822006984	0.451	0.132	3.572729559553e-285	Ependymal-A	Celsr1
