	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Il1a	0	0.957627788104823	0.399	0.051	0
Tgfbi	0	0.955571008546271	0.481	0.112	0
Pld4	0	0.950423713025924	0.668	0.118	0
Msrb1	0	0.949374174667758	0.606	0.337	0
Msr1	0	0.946688020551352	0.444	0.084	0
Sh3bgrl3	0	0.937480781175168	0.992	0.863	0
Ifi27l2a	0	0.932145248437964	0.456	0.108	0
Slfn2	0	0.924596459637028	0.64	0.174	0
Creg1	0	0.923749026914485	0.774	0.35	0
Olfml3	0	0.91386150391347	0.648	0.254	0
Gpr34	0	0.90829631380421	0.447	0.059	0
Vsir	0	0.867868273935908	0.712	0.169	0
Tmem119	0	0.865822973345399	0.494	0.08	0
Lpl	0	0.858522065303407	0.368	0.072	0
Fcgr2b	0	0.852002064542331	0.657	0.115	0
Itgb2	0	0.842471413616703	0.706	0.091	0
Arhgdib	0	0.84178978136351	0.856	0.315	0
Ptpn18	0	0.840059749847748	0.75	0.183	0
Irf8	0	0.839370014691124	0.693	0.123	0
Fcgr1	0	0.8336856703769	0.621	0.059	0
Ccl7	0	0.828227586063507	0.228	0.08	0
Ccrl2	0	0.826085194955392	0.516	0.13	0
Adam8	0	0.824069571749368	0.401	0.062	0
Itgb5	0	0.808762617271565	0.677	0.191	0
Pfn1	0	0.798823609777174	0.995	0.928	0
Rac2	0	0.795473957979637	0.738	0.143	0
Gpr84	0	0.788765945295506	0.398	0.056	0
Clec4d	0	0.780836641893445	0.31	0.036	0
Fyb	0	0.778950671725414	0.632	0.103	0
Cd84	0	0.773176206778638	0.636	0.061	0
Sirpa	0	0.76850473496041	0.66	0.103	0
Nfkbiz	0	0.758745190174259	0.511	0.304	0
Emp3	0	0.754252340309555	0.759	0.345	0
Lgals1	0	0.752261961586419	0.676	0.441	0
Ms4a7	0	0.751927633934228	0.307	0.035	0
Ctsh	0	0.751507700397454	0.911	0.639	0
Efhd2	0	0.738345632609629	0.778	0.293	0
Lat2	0	0.736949733675599	0.639	0.098	0
Cd37	0	0.734909756468185	0.611	0.073	0
Samsn1	0	0.733522928132718	0.522	0.1	0
H2-DMa	0	0.731720388349716	0.569	0.083	0
Ninj1	0	0.727657179442455	0.635	0.347	0
Rgs2	0	0.726980436067555	0.556	0.153	0
Clta	0	0.726651057716528	0.973	0.867	0
Capg	0	0.72659826082725	0.741	0.46	0
Abhd12	0	0.72584423407113	0.721	0.316	0
Rab20	0	0.719092379231937	0.595	0.086	0
Slc15a3	0	0.717750177569114	0.579	0.051	0
Lst1	0	0.717594647014291	0.534	0.067	0
Snx5	0	0.71750679927766	0.806	0.421	0
Lair1	0	0.716763923006602	0.569	0.069	0
Slpi	0	0.713138357164743	0.154	0.03	0
Cd33	0	0.704481972021714	0.452	0.053	0
Fau	0	0.699033564126487	1	0.997	0
Ncf1	0	0.698217738650246	0.542	0.067	0
Cyth4	0	0.687912738831482	0.588	0.077	0
Ptpn6	0	0.683109852412439	0.622	0.074	0
Fam49b	0	0.680943019607397	0.675	0.297	0
Ptprc	0	0.68003603723602	0.53	0.066	0
Cxcl16	0	0.67987294120149	0.542	0.087	0
Ncf2	0	0.676892498678846	0.578	0.07	0
Lyn	0	0.675317650238795	0.637	0.171	0
Tmsb4x	0	0.670732143728986	1	1	0
Lpcat2	0	0.670112506555636	0.521	0.121	0
Kctd12	0	0.667659073885974	0.574	0.263	0
Lilrb4a	0	0.664882607785207	0.14	0.04	0
Gusb	0	0.658885443439585	0.686	0.247	0
Apoc1	0	0.652304945055902	0.216	0.045	0
Btg1	0	0.652031707460542	0.84	0.667	0
Ftl1-ps1	0	0.650905375628673	0.587	0.204	0
Sat1	0	0.650195571653918	0.941	0.749	0
Gngt2	0	0.649907188678497	0.682	0.309	0
Ccr1	0	0.648921562469029	0.291	0.036	0
Clec4n	0	0.64660820086879	0.21	0.027	0
Osm	0	0.645813244705555	0.398	0.047	0
Ifi30	0	0.644387645961794	0.415	0.099	0
Man2b1	0	0.643389940791659	0.583	0.161	0
Arpc1b	0	0.643279801871857	0.98	0.759	0
Ltc4s	0	0.642356732394534	0.436	0.114	0
Basp1	0	0.637914224607694	0.69	0.398	0
Prdx5	0	0.634204680865174	0.889	0.718	0
Hpgds	0	0.633666920949703	0.512	0.067	0
Cd300lf	0	0.628023510196924	0.36	0.043	0
Rps29	0	0.62681663245535	1	1	0
Gpsm3	0	0.626146250450334	0.601	0.113	0
Saa3	0	0.625057969616302	0.123	0.03	0
Slc11a1	0	0.623488503912508	0.506	0.043	0
Id2	0	0.620729862771179	0.755	0.471	0
Il1rn	0	0.617968508184732	0.214	0.03	0
Bcl2a1a	0	0.617075759052667	0.407	0.047	0
Otulinl	0	0.609166361184618	0.563	0.078	0
Bcl2a1d	0	0.607384630238125	0.444	0.044	0
Pim1	0	0.607151256117574	0.54	0.256	0
Gpx1	0	0.60605178674263	0.961	0.785	0
Lilr4b	0	0.604170779612981	0.256	0.039	0
Cd48	0	0.600264886752954	0.532	0.061	0
Cd63	0	0.59962774337572	0.927	0.747	0
Apbb1ip	0	0.597788746406795	0.499	0.068	0
Sdcbp	0	0.595966486105989	0.949	0.82	0
Hk2	0	0.594034388576747	0.512	0.082	0
Cndp2	0	0.592569273948586	0.621	0.246	0
Hilpda	0	0.592086791204553	0.418	0.215	0
P2ry6	0	0.591307675451126	0.522	0.052	0
Siglech	0	0.59105082338054	0.31	0.031	0
Hcls1	0	0.589893951366017	0.551	0.081	0
Bin1	0	0.589103866001812	0.681	0.296	0
Rps28	0	0.588875255365828	0.997	0.989	0
Arpc2	0	0.587862989251188	0.971	0.86	0
Cmtm7	0	0.585716580851582	0.619	0.13	0
Bin2	0	0.585071504035882	0.521	0.061	0
Timp2	0	0.584105813511635	0.656	0.39	0
AA467197	0	0.582863458630417	0.28	0.143	0
S100a4	0	0.581297309018838	0.312	0.148	0
Ptafr	0	0.579928146822999	0.378	0.032	0
Fermt3	0	0.579142284718394	0.498	0.059	0
Tnfaip8l2	0	0.578763294028714	0.515	0.049	0
Nfe2l2	0	0.578444662424514	0.695	0.369	0
Rnf149	0	0.57493892222889	0.557	0.143	0
Evi2a	0	0.574511108276593	0.59	0.125	0
Aprt	0	0.574161756134098	0.722	0.489	0
Sdf2l1	0	0.573723101651623	0.604	0.24	0
Pld3	0	0.570717445876794	0.57	0.265	0
Gmfg	0	0.567640453023875	0.493	0.079	0
Tgif1	0	0.567617225059712	0.637	0.252	0
Gm49339	0	0.567130189661065	0.319	0.064	0
Ptgs1	0	0.567110366125994	0.397	0.052	0
Nlrp3	0	0.563393410835442	0.339	0.04	0
Mcl1	0	0.562205985801245	0.737	0.592	0
Tgfbr1	0	0.557901418004666	0.491	0.146	0
Rpl10	0	0.557146609879455	0.998	0.989	0
Tnfaip3	0	0.556357658818452	0.378	0.121	0
Adgre1	0	0.554222894969571	0.503	0.057	0
Actb	0	0.547585659046904	1	0.999	0
Lsp1	0	0.547342843766358	0.447	0.104	0
Glrx	0	0.541903715500905	0.431	0.218	0
Cd86	0	0.541329412650903	0.438	0.037	0
Ccr5	0	0.538920628032615	0.373	0.033	0
Asah1	0	0.53790463815944	0.759	0.393	0
Irf5	0	0.529897907981959	0.51	0.068	0
H2-D1	0	0.529691969859197	0.983	0.831	0
Vamp8	0	0.52578719803343	0.873	0.54	0
Nfkbid	0	0.523678556348793	0.399	0.072	0
Ptpn1	0	0.522692661289098	0.613	0.29	0
Slc7a11	0	0.520842517562429	0.232	0.037	0
Pou2f2	0	0.516839206407938	0.403	0.052	0
Bst2	0	0.512604890013691	0.718	0.435	0
Csf2rb	0	0.506952133381477	0.38	0.043	0
Ssr4	0	0.505958329510932	0.92	0.774	0
F13a1	0	0.503560232568801	0.231	0.02	0
Capza2	0	0.503243612804223	0.923	0.781	0
Hck	0	0.500587967650986	0.441	0.048	0
Limd2	0	0.497042215049073	0.495	0.113	0
AB124611	0	0.495218687530228	0.39	0.039	0
Cst7	0	0.492067751733904	0.271	0.045	0
Dusp2	0	0.491121106891242	0.287	0.081	0
Lgals3bp	0	0.488890247501027	0.502	0.195	0
Gabarap	0	0.48876933332116	0.969	0.928	0
Inpp5d	0	0.488635604089271	0.465	0.094	0
H2-DMb1	0	0.487318856963747	0.407	0.05	0
Igsf6	0	0.486851097686022	0.401	0.035	0
Rab3il1	0	0.486798819871708	0.456	0.065	0
Pabpc1	0	0.486007933731495	0.927	0.798	0
Arpc5	0	0.485411535454863	0.845	0.634	0
Erp29	0	0.483500301032593	0.827	0.61	0
Serp1	0	0.483108721752138	0.76	0.502	0
Tnfsf9	0	0.481347103641287	0.209	0.059	0
Mef2c	0	0.47863718547972	0.538	0.276	0
Prkcd	0	0.476694010186725	0.473	0.092	0
Ntpcr	0	0.475903657480316	0.489	0.155	0
Plekho1	0	0.475597243797077	0.465	0.092	0
Abi3	0	0.475135436885278	0.482	0.12	0
Dnase2a	0	0.475022689584163	0.503	0.104	0
Arrb2	0	0.472800093904343	0.503	0.109	0
Cfp	0	0.472156563404758	0.271	0.042	0
Igf1	0	0.47188307990712	0.253	0.059	0
Bmp2k	0	0.465615762505502	0.449	0.17	0
Ppfia4	0	0.464483453404133	0.374	0.051	0
Rel	0	0.464048008758353	0.403	0.101	0
Rps11	0	0.463159709223125	0.997	0.989	0
Skil	0	0.463111842276678	0.54	0.288	0
Lamp1	0	0.462490481296862	0.877	0.771	0
Dennd4a	0	0.459526246769452	0.348	0.141	0
Akr1a1	0	0.458594059355369	0.898	0.807	0
F10	0	0.45853927825777	0.178	0.017	0
Dab2	0	0.45722348787394	0.47	0.299	0
Gadd45b	0	0.456046372261653	0.547	0.365	0
Rpl32	0	0.454577713769026	0.997	0.996	0
Camk1	0	0.454111221185739	0.673	0.402	0
Tnfaip2	0	0.453986602387184	0.319	0.047	0
Lrrc25	0	0.453373762514821	0.408	0.035	0
Ifngr1	0	0.45298953287467	0.596	0.301	0
Dhrs3	0	0.452243887979206	0.512	0.145	0
Abca1	0	0.45166589473491	0.519	0.223	0
Blnk	0	0.451474649994778	0.409	0.043	0
Clec5a	0	0.451223382043785	0.365	0.045	0
Nfkbia	0	0.451100912418603	0.852	0.783	0
Hcar2	0	0.448381197552202	0.252	0.028	0
Gm2a	0	0.448247264333759	0.633	0.33	0
Emilin2	0	0.447034363804502	0.248	0.039	0
Fcgr4	0	0.446841009447486	0.335	0.03	0
Rhog	0	0.446674208727219	0.603	0.249	0
Rnaset2a	0	0.444753040468553	0.556	0.217	0
Ncf4	0	0.444220880751193	0.421	0.049	0
Ifngr2	0	0.443709723399713	0.525	0.145	0
Sowahc	0	0.442933875092563	0.406	0.111	0
Rps9	0	0.441954657121618	1	0.995	0
Arpc4	0	0.441189971559787	0.817	0.543	0
Eif4a1	0	0.440461993649491	0.963	0.869	0
Csf3r	0	0.438576498580597	0.311	0.035	0
Rpl18a	0	0.437668958062222	0.998	0.998	0
Cebpa	0	0.437352823985479	0.378	0.051	0
Tpd52	0	0.43598404235268	0.753	0.528	0
Rhoh	0	0.434099542122684	0.359	0.035	0
Atp6v0b	0	0.434041538425125	0.933	0.77	0
Zeb2os	0	0.434012407935374	0.447	0.065	0
Ms4a6b	0	0.431392922144467	0.36	0.048	0
Rpl35a	0	0.431282380595628	0.999	0.998	0
Rab7b	0	0.430244307550807	0.356	0.046	0
Tbxas1	0	0.429276053433623	0.422	0.049	0
Clec4e	0	0.42910137023466	0.163	0.024	0
Epb41l2	0	0.427632904773104	0.541	0.272	0
Gdf15	0	0.4271868272665	0.2	0.052	0
Rpl37a	0	0.427135828418676	0.999	0.999	0
Ifi207	0	0.426361812328942	0.32	0.03	0
Sft2d1	0	0.425428856176077	0.635	0.327	0
Maf	0	0.425374192327962	0.383	0.069	0
Gpr183	0	0.424697534074473	0.283	0.036	0
Tmem37	0	0.421134437899325	0.449	0.112	0
P2rx4	0	0.418892290766997	0.476	0.14	0
Rab32	0	0.417921554605728	0.416	0.067	0
Zeb2	0	0.417332311465527	0.629	0.325	0
Psmb8	0	0.417168536875447	0.723	0.378	0
Cxcl10	0	0.416809040769171	0.178	0.07	0
Slc16a3	0	0.414060851525367	0.332	0.072	0
Nckap1l	0	0.413860853650834	0.372	0.037	0
Rilpl2	0	0.413356863108123	0.441	0.187	0
Hebp1	0	0.412772456604873	0.444	0.113	0
Nrros	0	0.411726692390512	0.423	0.079	0
Cyp4f18	0	0.411268947987069	0.311	0.038	0
Edem1	0	0.410695657514382	0.466	0.137	0
Vav1	0	0.410310165692894	0.408	0.044	0
Grina	0	0.409767952174409	0.577	0.407	0
Acp5	0	0.409434285335437	0.222	0.036	0
Sla	0	0.408147848730635	0.334	0.039	0
Syngr2	0	0.407869119291375	0.591	0.292	0
Rps27a	0	0.407209943566048	0.999	0.998	0
Gm9843	0	0.406165707935955	0.411	0.23	0
Csf2ra	0	0.406124462559789	0.445	0.103	0
Tmem86a	0	0.404824173470164	0.433	0.098	0
Litaf	0	0.404554474790949	0.746	0.449	0
Ucp2	0	0.404348697496704	0.856	0.601	0
Uap1l1	0	0.404280100507561	0.408	0.095	0
Rpl35	0	0.404234115945567	0.99	0.977	0
Abracl	0	0.401883405810226	0.591	0.254	0
Picalm	0	0.399783183067099	0.647	0.445	0
Lamtor4	0	0.398777388176385	0.745	0.512	0
Rnh1	0	0.397859328914605	0.693	0.578	0
Rpl10a	0	0.397814144646782	0.984	0.971	0
Ppp1r18	0	0.397742614779251	0.541	0.227	0
Serf2	0	0.39510135097221	0.989	0.974	0
Arl5c	0	0.394289467277868	0.275	0.049	0
Ifi204	0	0.394191654510809	0.306	0.044	0
Gsto1	0	0.394117576914338	0.476	0.163	0
B4galt1	0	0.393375327450049	0.435	0.145	0
Cd44	0	0.392586620337846	0.384	0.193	0
Rap1b	0	0.392151710810337	0.786	0.588	0
Lcp2	0	0.391877742894849	0.338	0.041	0
Rrbp1	0	0.391078309511515	0.823	0.676	0
Arhgap45	0	0.390888545962875	0.388	0.043	0
Atp6v0e	0	0.386403838016147	0.893	0.773	0
Stab1	0	0.386357735582044	0.439	0.146	0
Pkib	0	0.386353548181635	0.384	0.045	0
Cybb	0	0.385701900153746	0.282	0.034	0
Plxdc2	0	0.38563587065303	0.387	0.145	0
Ier5	0	0.384810463612379	0.627	0.491	0
Vasp	0	0.384394005293529	0.586	0.364	0
Cd300a	0	0.383524874087323	0.33	0.028	0
Arl11	0	0.377567034201066	0.351	0.041	0
Mylip	0	0.374534648034026	0.346	0.087	0
Arhgap30	0	0.373457873778426	0.327	0.035	0
Daglb	0	0.373065377223487	0.425	0.127	0
Rps12	0	0.371616169397582	0.991	0.972	0
Rnase4	0	0.371293025428113	0.631	0.38	0
Plekho2	0	0.371282724639127	0.356	0.083	0
Pold4	0	0.370640181710313	0.582	0.278	0
Eno1	0	0.370331259118446	0.785	0.727	0
Rplp2	0	0.36966700352875	0.998	0.995	0
Tnfaip8	0	0.369594619582481	0.481	0.186	0
Pilra	0	0.36903795011389	0.282	0.035	0
Snx20	0	0.368288601635893	0.271	0.029	0
Tent5c	0	0.366681402761236	0.337	0.058	0
Rps23	0	0.366674917113459	0.999	0.998	0
Gns	0	0.366401143046488	0.508	0.239	0
Glmp	0	0.365690958732226	0.634	0.417	0
Celf2	0	0.36448507021457	0.525	0.208	0
Pkm	0	0.36429435091775	0.891	0.905	0
Ppt1	0	0.364231370977765	0.605	0.324	0
Lag3	0	0.364091967978299	0.253	0.028	0
Hcst	0	0.362579728356732	0.359	0.05	0
Il4ra	0	0.362241231218392	0.387	0.158	0
Pgd	0	0.361406349434238	0.484	0.211	0
Susd3	0	0.361259506655761	0.339	0.038	0
Soat1	0	0.360708748192154	0.445	0.157	0
Crlf2	0	0.360422780548689	0.547	0.237	0
Hp	0	0.358927777190321	0.122	0.026	0
Rps19	0	0.357203694882295	0.996	0.997	0
Zfhx3	0	0.356375045413668	0.386	0.178	0
Capzb	0	0.35548896220539	0.899	0.77	0
Pirb	0	0.35332168438638	0.271	0.026	0
Gpr137b	0	0.349655154378116	0.353	0.124	0
Milr1	0	0.348768238494448	0.375	0.075	0
Rplp0	0	0.348503143319316	0.998	0.992	0
Fgd2	0	0.348217700915096	0.299	0.028	0
Pla2g15	0	0.345794157107015	0.344	0.062	0
Zc3h12a	0	0.344428136823182	0.324	0.062	0
Tmem106a	0	0.344321796562022	0.334	0.071	0
P2ry13	0	0.341934928489575	0.262	0.027	0
Ssh2	0	0.34142987740324	0.351	0.152	0
Rpl39	0	0.340492464600487	0.996	0.992	0
Rps27	0	0.338670503629297	1	0.998	0
Lpxn	0	0.338198658403095	0.355	0.047	0
Smap2	0	0.338104374960301	0.39	0.196	0
Crybb1	0	0.337160789619154	0.212	0.026	0
Rps25	0	0.336449949199317	0.997	0.993	0
Cd72	0	0.336256717546408	0.245	0.044	0
Atp6v1c1	0	0.335737381894287	0.541	0.284	0
Glipr1	0	0.335283012228197	0.318	0.05	0
Tspo	0	0.334706098963286	0.851	0.685	0
Cyfip1	0	0.334171524567781	0.57	0.377	0
Il10ra	0	0.333956092424664	0.269	0.026	0
Fxyd5	0	0.333517053767081	0.752	0.611	0
Tifa	0	0.332797546741059	0.382	0.095	0
Rps15a	0	0.332752887850874	0.996	0.993	0
Gpr65	0	0.332013773990606	0.298	0.03	0
Trem1	0	0.331214462615306	0.115	0.016	0
Mif	0	0.331078399490353	0.856	0.791	0
Tcn2	0	0.330449625993351	0.54	0.272	0
Skap2	0	0.33007229334857	0.561	0.288	0
Gna15	0	0.329308818182496	0.327	0.04	0
Rps26	0	0.328610050824973	0.99	0.977	0
Atp6v1g1	0	0.328064309975513	0.924	0.877	0
Mapkapk2	0	0.327890445938246	0.355	0.172	0
Mcemp1	0	0.327422969903877	0.162	0.021	0
Bri3	0	0.326972220578026	0.652	0.553	0
Pgam1	0	0.326652899185437	0.756	0.694	0
Renbp	0	0.326452851075648	0.365	0.072	0
Myo1f	0	0.324647135784926	0.334	0.036	0
Neurl3	0	0.323964797581532	0.239	0.028	0
Hpgd	0	0.323720187238385	0.321	0.073	0
Runx1	0	0.322413197013123	0.387	0.138	0
Gda	0	0.322356246000358	0.188	0.047	0
Rps24	0	0.32197191470181	0.997	0.994	0
Rpl37	0	0.320972173546539	0.999	0.999	0
Lmnb1	0	0.320862513268523	0.305	0.135	0
Rps18	0	0.320204981978296	0.995	0.995	0
Tagap	0	0.320126113545041	0.235	0.027	0
Adssl1	0	0.319967145478894	0.38	0.086	0
Rpl23a	0	0.319126885296218	0.996	0.994	0
Fam20c	0	0.319115187676587	0.301	0.075	0
Cd180	0	0.318043675262333	0.294	0.031	0
Snx18	0	0.317947480415884	0.391	0.225	0
Clec4a2	0	0.31764668493788	0.261	0.028	0
Scamp2	0	0.316796973868305	0.491	0.263	0
Actr3	0	0.316617999134587	0.804	0.644	0
Rps12-ps3	0	0.31660664135371	0.432	0.244	0
Fuca1	0	0.316390589547127	0.62	0.398	0
Ostf1	0	0.316351011275923	0.827	0.629	0
Prelid1	0	0.313530136748547	0.706	0.544	0
Rpl17	0	0.313415082659643	0.998	0.994	0
Ciao2a	0	0.312151996492781	0.581	0.366	0
Apobec1	0	0.311405169429829	0.324	0.05	0
Gdi2	0	0.310587380490491	0.851	0.727	0
Rps16	0	0.310518670983552	0.998	0.996	0
Rps27rt	0	0.309737033780816	0.752	0.583	0
Spint1	0	0.309127281552768	0.239	0.025	0
Tcirg1	0	0.308602836070685	0.366	0.093	0
Rpl26	0	0.308225070401032	0.997	0.997	0
Golm1	0	0.308183982697054	0.344	0.134	0
Adap2os	0	0.306010676168077	0.316	0.043	0
Card19	0	0.305296241455912	0.554	0.427	0
Naglu	0	0.303825487895104	0.345	0.088	0
Dock2	0	0.303092808639284	0.306	0.04	0
Bola2	0	0.302764776161424	0.696	0.59	0
Ifrd1	0	0.301284560017828	0.623	0.47	0
Hvcn1	0	0.299737124579768	0.296	0.034	0
Tpp1	0	0.299607058837618	0.581	0.366	0
Evl	0	0.299304287850182	0.404	0.156	0
Actr2	0	0.299221600714991	0.663	0.48	0
Rab8b	0	0.299117205259207	0.378	0.156	0
Stk17b	0	0.298738521441808	0.295	0.104	0
Havcr2	0	0.29864121987305	0.281	0.03	0
Adap2	0	0.298216206503153	0.321	0.051	0
Pla2g7	0	0.296865038319671	0.269	0.083	0
Pag1	0	0.29667250094374	0.273	0.061	0
Mmp8	0	0.296420833628221	0.103	0.011	0
Marcks	0	0.296053299386831	0.724	0.541	0
Rps4x	0	0.296018105722775	0.995	0.992	0
1700017B05Rik	0	0.295797714309871	0.307	0.073	0
Stx7	0	0.295557644301342	0.654	0.419	0
Rnpep	0	0.294350741067194	0.464	0.224	0
Metrnl	0	0.294220339689173	0.248	0.08	0
Rpl10-ps3	0	0.292581056520971	0.547	0.3	0
Coro1b	0	0.292199387438147	0.448	0.203	0
Rpl6	0	0.292013933335727	0.996	0.995	0
Il17ra	0	0.291978650556685	0.333	0.133	0
Rpl36al	0	0.291108910669091	0.952	0.884	0
Rcbtb2	0	0.290874639393941	0.392	0.168	0
Rpl34	0	0.290727005800946	0.998	0.995	0
ENSMUSG00000089672	0	0.289603028522233	0.182	0.019	0
Rnaset2b	0	0.289558560955893	0.467	0.231	0
Fabp4	0	0.288739943763613	0.108	0.023	0
Slamf9	0	0.288233073043535	0.276	0.042	0
Slc7a8	0	0.288061635329782	0.312	0.06	0
Calr	0	0.287584926756532	0.874	0.854	0
Arpc3	0	0.287245155685943	0.935	0.809	0
Cfl1	0	0.287020474589946	0.994	0.979	0
Tlr13	0	0.286980473210984	0.258	0.024	0
Icam1	0	0.286506665239592	0.44	0.253	0
Amdhd2	0	0.286417799727777	0.354	0.14	0
Tnfrsf1b	0	0.286297066693594	0.287	0.063	0
Slc25a5	0	0.284375424172172	0.945	0.892	0
Syk	0	0.283054513352786	0.238	0.028	0
Ccdc86	0	0.282826699860012	0.339	0.167	0
Adrb2	0	0.28231589207471	0.274	0.102	0
Eif4ebp1	0	0.282218735171521	0.498	0.266	0
Lamtor1	0	0.281583776009932	0.686	0.509	0
Tgfb1	0	0.281447321434062	0.365	0.156	0
Hacd4	0	0.28097849820468	0.306	0.073	0
Cxcr4	0	0.280257171868073	0.269	0.097	0
Rbm47	0	0.280240651179066	0.267	0.026	0
Arl4c	0	0.279885298295776	0.393	0.15	0
Lgals9	0	0.279301601105741	0.528	0.261	0
Tm6sf1	0	0.279086464992059	0.386	0.162	0
Mthfs	0	0.277206289086392	0.349	0.125	0
AI413582	0	0.277073900396894	0.449	0.206	0
Gapdh	0	0.276381771756506	0.972	0.947	0
Mertk	0	0.275216588339531	0.323	0.121	0
Snx2	0	0.274796971743447	0.473	0.284	0
Wdr89	0	0.274757780898912	0.646	0.429	0
Atp6v1b2	0	0.274345529957475	0.51	0.294	0
Prr13	0	0.274000406142143	0.519	0.334	0
Fmnl1	0	0.273651966926082	0.246	0.033	0
Ubash3b	0	0.273455005089277	0.308	0.066	0
Frrs1	0	0.272675953304411	0.298	0.056	0
Ikzf1	0	0.272664171143776	0.263	0.033	0
Rps13	0	0.272490921469924	0.996	0.989	0
Pde3b	0	0.271505836746917	0.27	0.075	0
Gba	0	0.270362543196219	0.38	0.138	0
Nfam1	0	0.269673406059986	0.243	0.027	0
