"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
1.03099978128875e-94	0.605428766442298	0.758	0.466	3.4205479743817e-90	"A-Endothelial"	"Sox17"
2.46876549506149e-94	0.530899331822336	0.545	0.252	8.1906232829655e-90	"A-Endothelial"	"Stom"
3.59597763100776e-93	0.539838629480827	0.922	0.753	1.19303749863944e-88	"A-Endothelial"	"Tspo"
2.42919271313645e-92	0.476790079059477	0.95	0.802	8.05933266437279e-88	"A-Endothelial"	"Slc9a3r2"
2.40805187773452e-91	0.547568312114535	0.614	0.307	7.98919371475983e-87	"A-Endothelial"	"Irf7"
1.23008579970808e-88	0.538644009938938	0.901	0.712	4.08105565769149e-84	"A-Endothelial"	"Jcad"
3.42343911887467e-88	0.529912306255689	0.806	0.57	1.13579439646905e-83	"A-Endothelial"	"Heg1"
7.26589191197652e-88	0.485132143233171	0.477	0.21	2.41060495963645e-83	"A-Endothelial"	"Itprid2"
1.60455134221594e-86	0.511377026013169	0.481	0.219	5.32341998806982e-82	"A-Endothelial"	"Atp13a3"
8.12782613882028e-86	0.594826124052783	0.867	0.619	2.69656887807641e-81	"A-Endothelial"	"Srarp"
2.37431476864873e-85	0.517150549888246	0.484	0.21	7.87726410794588e-81	"A-Endothelial"	"Cdkn1c"
1.10094952277848e-83	0.388295071691898	0.988	0.903	3.65262023172215e-79	"A-Endothelial"	"Slc2a1"
3.79865248949719e-83	0.642766526178839	0.794	0.554	1.26027893644048e-78	"A-Endothelial"	"Ltbp4"
4.254933925235e-82	0.450266270331134	0.999	0.925	1.41165942837522e-77	"A-Endothelial"	"Ly6a"
7.38057096433354e-80	0.540360914370744	0.703	0.436	2.44865202883694e-75	"A-Endothelial"	"Cp"
1.47548850088516e-79	0.5052099951951	0.722	0.471	4.89522819938671e-75	"A-Endothelial"	"Mmrn2"
1.69458672248178e-79	0.541925016143999	0.594	0.318	5.6221303691778e-75	"A-Endothelial"	"Plscr1"
2.28399077705244e-79	0.298421953296387	0.221	0.056	7.5775962010269e-75	"A-Endothelial"	"Eln"
7.21034790325216e-77	0.36358586839046	0.993	0.92	2.39217712386197e-72	"A-Endothelial"	"Ly6e"
1.26338156792034e-76	0.322185397310154	0.306	0.101	4.19152102788933e-72	"A-Endothelial"	"Aif1l"
1.9443888639574e-76	0.539423140005402	0.628	0.346	6.45089893395146e-72	"A-Endothelial"	"Rasd1"
1.97010687796572e-76	0.472983521917064	0.715	0.445	6.53622358902688e-72	"A-Endothelial"	"Eogt"
3.33794715957192e-74	0.509512471111571	0.793	0.575	1.10743072913118e-69	"A-Endothelial"	"Pcmtd1"
3.82873648855118e-73	0.293900641839035	0.265	0.08	1.27025990480663e-68	"A-Endothelial"	"Gm9946"
5.83814094987857e-73	0.371245005904	0.962	0.905	1.93692002294121e-68	"A-Endothelial"	"App"
1.94616522490907e-72	0.469955346609398	0.926	0.792	6.45679236668082e-68	"A-Endothelial"	"H2-K1"
1.17902360252506e-71	0.363472437861205	0.39	0.161	3.91164660609741e-67	"A-Endothelial"	"Arl15"
2.57506302906696e-71	0.446227063885566	0.852	0.616	8.54328661153546e-67	"A-Endothelial"	"Cavin2"
5.01695324376848e-71	0.457302030763668	0.857	0.642	1.66447457768507e-66	"A-Endothelial"	"Podxl"
8.36148632115992e-71	0.425425994743208	0.416	0.179	2.77409031677123e-66	"A-Endothelial"	"Spaar"
1.03931642590204e-67	0.578791735360211	0.699	0.416	3.44814010621519e-63	"A-Endothelial"	"Depp1"
3.5556092888234e-67	0.384140320626893	0.922	0.721	1.17964449375294e-62	"A-Endothelial"	"Cxcl12"
3.99990335568721e-66	0.438294055577937	0.697	0.419	1.32704793631635e-61	"A-Endothelial"	"Cd9"
1.0419220687997e-65	0.380612991866449	0.93	0.763	3.45678484765678e-61	"A-Endothelial"	"Sgms1"
1.69498872235298e-64	0.306680005770922	0.907	0.73	5.62346408415047e-60	"A-Endothelial"	"Crip1"
2.81637312948897e-64	0.410678450054055	0.544	0.29	9.34388113170555e-60	"A-Endothelial"	"Mgll"
4.04985155384784e-64	0.359387945475038	0.91	0.74	1.3436192500201e-59	"A-Endothelial"	"S1pr1"
3.10538176309932e-63	0.535677626382395	0.674	0.448	1.03027250754346e-58	"A-Endothelial"	"Sox18"
6.38393143361295e-63	0.456176798723006	0.978	0.902	2.11799693172977e-58	"A-Endothelial"	"Selenop"
7.95168102765044e-63	0.323505238944355	0.353	0.146	2.63812921454359e-58	"A-Endothelial"	"Itpr3"
1.00144467684207e-61	0.459199343540881	0.523	0.275	3.32249300435892e-57	"A-Endothelial"	"Ptprr"
1.13951201360867e-61	0.294380385041679	0.419	0.184	3.78055900754948e-57	"A-Endothelial"	"Cthrc1"
1.5276119018398e-60	0.27094312399156	0.245	0.081	5.0681580067339e-56	"A-Endothelial"	"Fam181b"
1.72133417157483e-60	0.411217820112434	0.667	0.419	5.71087038103381e-56	"A-Endothelial"	"Smpdl3a"
2.41976501291466e-60	0.355879624074974	0.329	0.131	8.02805438334695e-56	"A-Endothelial"	"H2-Q7"
6.17562038815763e-60	0.395390153465074	0.562	0.317	2.04888557617906e-55	"A-Endothelial"	"Entpd1"
1.02242690061042e-59	0.456917751267461	0.893	0.665	3.3921057281552e-55	"A-Endothelial"	"Slco1c1"
1.3893638773204e-59	0.381356290427955	0.92	0.809	4.60949253578591e-55	"A-Endothelial"	"Eng"
3.21344254127175e-59	0.360677704248405	0.33	0.136	1.06612383191773e-54	"A-Endothelial"	"Smad6"
2.51562515319587e-57	0.296565522771322	1	0.984	8.34608957075794e-53	"A-Endothelial"	"Ifitm3"
1.24588316050703e-54	0.32565184911133	0.393	0.182	4.13346656161417e-50	"A-Endothelial"	"Tmeff1"
1.43198118817021e-53	0.400537711315557	0.647	0.411	4.7508839879923e-49	"A-Endothelial"	"H2bc4"
2.34276379014441e-53	0.458228280402045	0.69	0.48	7.77258742656211e-49	"A-Endothelial"	"Cd2ap"
6.65601779302521e-53	0.548713394821307	0.694	0.475	2.20826702319198e-48	"A-Endothelial"	"Gadd45g"
1.08782290795431e-52	0.281218522194446	0.279	0.109	3.60907006172003e-48	"A-Endothelial"	"Gulp1"
7.59553402193697e-52	0.342265725329199	0.981	0.892	2.51997032245803e-47	"A-Endothelial"	"Flt1"
3.75633231210972e-51	0.390748653310045	0.493	0.28	1.24623837118864e-46	"A-Endothelial"	"Jag2"
5.32196122788357e-51	0.27097529676751	0.309	0.131	1.76566707657493e-46	"A-Endothelial"	"Pik3r3"
7.95925482302675e-51	0.379577539078581	0.816	0.643	2.64064197263558e-46	"A-Endothelial"	"Ebf1"
1.67300523381991e-50	0.327422392195536	0.888	0.739	5.55052946424432e-46	"A-Endothelial"	"Acvrl1"
5.74913979973742e-50	0.37747801952376	0.969	0.865	1.90739211135889e-45	"A-Endothelial"	"Tsc22d1"
1.15494988348702e-49	0.401812216892822	0.603	0.391	3.83177722844488e-45	"A-Endothelial"	"Adipor2"
1.73728782685282e-49	0.346768017105281	0.893	0.706	5.76379982314959e-45	"A-Endothelial"	"Tinagl1"
1.7820182330521e-49	0.298596427559404	0.985	0.905	5.91220189179696e-45	"A-Endothelial"	"Crip2"
8.11495985461077e-48	0.355230784477069	0.877	0.789	2.69230023096421e-43	"A-Endothelial"	"Aplp2"
8.60899796877334e-48	0.415840453361358	0.686	0.463	2.85620725609993e-43	"A-Endothelial"	"Acer2"
1.25390397732201e-47	0.391319804668456	0.836	0.68	4.16007722556124e-43	"A-Endothelial"	"Cyyr1"
2.72893550934372e-47	0.426734226080071	0.705	0.533	9.05378933934966e-43	"A-Endothelial"	"Golim4"
3.29196847400502e-46	0.326193949517442	0.748	0.538	1.09217638062065e-41	"A-Endothelial"	"Tek"
5.6871943131112e-46	0.443641990670419	0.65	0.424	1.8868404572609e-41	"A-Endothelial"	"Tmem176b"
1.14673112912256e-45	0.443168295698727	0.571	0.361	3.80450986708992e-41	"A-Endothelial"	"Hrct1"
1.21779089482166e-45	0.312148826526813	0.395	0.199	4.04026485174982e-41	"A-Endothelial"	"Arhgap10"
1.29573178532509e-45	0.353263114709282	0.445	0.24	4.29884934417305e-41	"A-Endothelial"	"Fam107a"
1.46156038742131e-45	0.268785708692598	0.371	0.175	4.84901889734767e-41	"A-Endothelial"	"Pdgfd"
6.92135259424584e-45	0.367732531200156	0.733	0.54	2.29629715019294e-40	"A-Endothelial"	"Slc30a1"
1.11727075714946e-44	0.838126943535369	0.469	0.26	3.70676919099477e-40	"A-Endothelial"	"Mgp"
1.25596090168637e-44	0.280455088362286	0.26	0.107	4.16690148352488e-40	"A-Endothelial"	"Mcub"
1.34172010175593e-44	0.407627476292075	0.706	0.499	4.45142478159565e-40	"A-Endothelial"	"Prom1"
4.68100018580975e-44	0.393342275493072	0.845	0.673	1.5530154316461e-39	"A-Endothelial"	"Gpcpd1"
7.13233174795795e-44	0.359937411722325	0.772	0.588	2.36629370402001e-39	"A-Endothelial"	"Adam15"
9.0141305906377e-44	0.398133860359489	0.709	0.547	2.99061810605587e-39	"A-Endothelial"	"Tgfbr2"
2.46711088710758e-42	0.27491490866193	0.367	0.184	8.18513379015682e-38	"A-Endothelial"	"Lifr"
3.27359158413134e-42	0.31337701242675	0.913	0.716	1.08607947986725e-37	"A-Endothelial"	"Tspan13"
4.38617120674203e-42	0.337511192960096	0.503	0.297	1.4552000212608e-37	"A-Endothelial"	"Efr3b"
7.54163791801826e-42	0.330705375610995	0.629	0.419	2.50208921206092e-37	"A-Endothelial"	"Fam13c"
8.60317492171506e-42	0.398462276628545	0.749	0.57	2.8542753437774e-37	"A-Endothelial"	"Plk2"
1.30090013314847e-41	0.275591840781842	0.964	0.911	4.31599637174668e-37	"A-Endothelial"	"Gnas"
5.06803114748942e-41	0.281353620112309	0.362	0.183	1.68142069380256e-36	"A-Endothelial"	"Sox13"
7.23039926109963e-41	0.301521956262638	0.514	0.31	2.39882956285502e-36	"A-Endothelial"	"Ak3"
9.74283994624076e-41	0.303661852796779	0.388	0.201	3.2323820089643e-36	"A-Endothelial"	"Ephx1"
1.63362790397222e-40	0.283408664729008	0.93	0.8	5.41988729700862e-36	"A-Endothelial"	"Pcp4l1"
1.84091887209962e-40	0.309166750266822	0.55	0.354	6.10761654196491e-36	"A-Endothelial"	"Gcnt2"
2.21723771604231e-40	0.271959452301429	0.945	0.838	7.35612957051358e-36	"A-Endothelial"	"Srgn"
3.4255755155346e-40	0.425054933768958	0.652	0.446	1.13650318878891e-35	"A-Endothelial"	"Isg15"
5.4891083139479e-40	0.342038958660269	0.79	0.678	1.82112146531849e-35	"A-Endothelial"	"Bnip2"
8.06408425545253e-40	0.254564088210586	0.981	0.913	2.67542123343148e-35	"A-Endothelial"	"Id3"
1.9215199672682e-39	0.250082023846228	0.371	0.188	6.3750267954057e-35	"A-Endothelial"	"Pdgfa"
4.23496986836597e-39	0.326615891478325	0.509	0.325	1.40503595322778e-34	"A-Endothelial"	"Rfk"
7.26557292114076e-39	0.347457379303654	0.673	0.484	2.41049912804687e-34	"A-Endothelial"	"Uaca"
7.90987740285934e-39	0.380692487708226	0.844	0.697	2.62426002594664e-34	"A-Endothelial"	"Apold1"
8.00481896904003e-38	0.285819750657998	0.486	0.287	2.65575878935841e-33	"A-Endothelial"	"Plscr4"
1.61750347455763e-37	0.254461561619365	0.283	0.129	5.36639127753986e-33	"A-Endothelial"	"Cmpk2"
1.7161820925051e-37	0.366899416965025	0.771	0.634	5.69377732830417e-33	"A-Endothelial"	"Utrn"
2.80106487916417e-37	0.325055027990551	0.701	0.493	9.29309294960298e-33	"A-Endothelial"	"Fas"
4.03307910080517e-36	0.329092927911165	0.677	0.482	1.33805465327413e-31	"A-Endothelial"	"Psmb8"
5.43117434237122e-36	0.406602106511577	0.459	0.267	1.8019007115685e-31	"A-Endothelial"	"Ifit1"
8.28511994849684e-36	0.299478090586714	0.386	0.216	2.7487542453128e-31	"A-Endothelial"	"Rnf103"
1.09910028736516e-35	0.324342102727772	0.9	0.761	3.64648502339138e-31	"A-Endothelial"	"Klf4"
1.14255858937101e-35	0.263611925779296	0.295	0.139	3.79066663195621e-31	"A-Endothelial"	"Akr1c14"
1.60639703633888e-35	0.297563807825537	0.579	0.381	5.32954344746151e-31	"A-Endothelial"	"Limch1"
1.08577722870241e-34	0.31212028151883	0.63	0.446	3.602283111666e-30	"A-Endothelial"	"Smco4"
1.58069242838999e-34	0.264302962213352	0.34	0.176	5.24426326966946e-30	"A-Endothelial"	"Gbp4"
1.64309356327505e-34	0.390069149652205	0.666	0.483	5.45129151487764e-30	"A-Endothelial"	"Cd59a"
1.82230166645806e-34	0.306107416908304	0.344	0.183	6.04585023880791e-30	"A-Endothelial"	"Igtp"
2.3902913407678e-34	0.285382646563726	0.831	0.647	7.93026958126534e-30	"A-Endothelial"	"Icam2"
2.4545266543549e-34	0.301213248379489	0.735	0.57	8.14338308115327e-30	"A-Endothelial"	"Tle5"
2.73282115401326e-34	0.281482451424088	0.738	0.53	9.06668074266979e-30	"A-Endothelial"	"Foxq1"
3.33290752140583e-34	0.312687009679949	0.649	0.478	1.10575872837681e-29	"A-Endothelial"	"Lima1"
5.02420954290868e-34	0.386006041843256	0.671	0.499	1.66688200005081e-29	"A-Endothelial"	"Prex2"
5.97746385665762e-34	0.262985452376565	0.331	0.174	1.9831431837233e-29	"A-Endothelial"	"A4galt"
1.0156048669032e-33	0.312199546986774	0.794	0.648	3.36947226692475e-29	"A-Endothelial"	"Kitl"
1.08943701681751e-33	0.402940065036384	0.967	0.924	3.61442519069547e-29	"A-Endothelial"	"Igfbp7"
1.35392652363516e-33	0.356394794303244	0.414	0.247	4.49192202746437e-29	"A-Endothelial"	"Azin1"
1.38984273680456e-33	0.309108751572045	0.872	0.71	4.6110812478965e-29	"A-Endothelial"	"Ptprb"
7.27304864256129e-33	0.410981316850239	0.435	0.261	2.41297934814256e-28	"A-Endothelial"	"Tmem176a"
7.42573964056933e-33	0.299394301133507	0.445	0.267	2.46363764055169e-28	"A-Endothelial"	"Psmb9"
1.91194096711607e-32	0.288017293617351	0.627	0.435	6.34324654660099e-28	"A-Endothelial"	"Slc16a2"
2.46643536203882e-32	0.250104092268489	0.333	0.173	8.1828926006362e-28	"A-Endothelial"	"Ifi47"
1.36602215995565e-30	0.295403481235193	0.336	0.183	4.53205172008487e-26	"A-Endothelial"	"Nr4a2"
3.25834325769105e-30	0.277627671213869	0.769	0.65	1.08102054260416e-25	"A-Endothelial"	"Rdx"
3.48516060547474e-30	0.312153319811074	0.628	0.467	1.15627173407836e-25	"A-Endothelial"	"Arid5b"
4.98808629062688e-30	0.256393340084438	0.842	0.679	1.65489738864128e-25	"A-Endothelial"	"Lsr"
7.51060947897575e-30	0.295289977875634	0.606	0.428	2.49179490683978e-25	"A-Endothelial"	"Cyth3"
7.92328168277529e-30	0.33938735300381	0.747	0.616	2.62870716389436e-25	"A-Endothelial"	"Sema3c"
1.14362031914714e-29	0.269420484770476	0.633	0.454	3.79418913283445e-25	"A-Endothelial"	"Gata2"
1.22512017865256e-29	0.314191884801597	0.898	0.723	4.0645812167156e-25	"A-Endothelial"	"Spock2"
3.2731109227223e-29	0.281458880328467	0.385	0.225	1.08592001083158e-24	"A-Endothelial"	"Reck"
5.31529507704983e-29	0.27891035946929	0.458	0.285	1.76345544771282e-24	"A-Endothelial"	"Gbp3"
6.70762135304705e-29	0.264808305201848	0.494	0.331	2.22538753630042e-24	"A-Endothelial"	"Ptprm"
6.98306625949448e-29	0.326399924173868	0.747	0.617	2.31677189291249e-24	"A-Endothelial"	"Cyb5r3"
1.61667074396235e-27	0.302301127323747	0.564	0.406	5.36362852724388e-23	"A-Endothelial"	"Fryl"
7.22016316037829e-27	0.255201733806317	0.401	0.242	2.39543353171871e-22	"A-Endothelial"	"Jag1"
8.41173923139261e-27	0.255623117767478	0.492	0.324	2.79076272479913e-22	"A-Endothelial"	"Tpd52l1"
8.98633429058071e-27	0.255776363961379	0.521	0.357	2.98139612758596e-22	"A-Endothelial"	"Clstn1"
1.42438512555762e-26	0.256748218989732	0.751	0.619	4.72568253106252e-22	"A-Endothelial"	"Mapk3"
4.7852571288594e-26	0.254792119427934	0.544	0.378	1.58760475764168e-21	"A-Endothelial"	"Plcb1"
5.1827565592283e-26	0.275852076561353	0.616	0.452	1.71948314365517e-21	"A-Endothelial"	"C130074G19Rik"
1.89356070563202e-25	0.316377728909555	0.714	0.573	6.28226635307536e-21	"A-Endothelial"	"Clec2d"
4.551633998449e-25	0.274367916258611	0.667	0.521	1.51009561166543e-20	"A-Endothelial"	"Kctd10"
8.04453102853537e-25	0.261430244580288	0.522	0.368	2.66893405933718e-20	"A-Endothelial"	"Grasp"
9.41432987226192e-25	0.263080433438166	0.617	0.478	3.12339222172034e-20	"A-Endothelial"	"Cenpb"
1.42746446970001e-24	0.255748301397332	0.803	0.686	4.73589887112374e-20	"A-Endothelial"	"Anp32a"
2.99766043212426e-24	0.262895333908011	0.681	0.541	9.94533801565867e-20	"A-Endothelial"	"Gltp"
3.08634948264727e-24	0.307142264006563	0.763	0.636	1.02395816785788e-19	"A-Endothelial"	"Adamts1"
3.46178207135934e-24	0.267020643338305	0.748	0.604	1.14851543781489e-19	"A-Endothelial"	"Bst2"
1.20296285320591e-22	0.267013019299904	0.542	0.388	3.99106985808126e-18	"A-Endothelial"	"Smarca2"
1.44718355236903e-22	0.251315873878928	0.42	0.273	4.80132087169474e-18	"A-Endothelial"	"Oasl2"
3.57429841193795e-20	0.292609744556389	0.363	0.23	1.18584498412866e-15	"A-Endothelial"	"Tcim"
5.31400264041086e-20	0.252093590397484	0.385	0.258	1.76302665600911e-15	"A-Endothelial"	"Nedd9"
7.68525271002955e-20	0.292921105242501	0.9	0.854	2.5497362916065e-15	"A-Endothelial"	"Fos"
3.52938149354186e-18	0.283637163839885	0.363	0.238	1.17094289811238e-13	"A-Endothelial"	"Pdcd4"
9.49191274521152e-16	0.311465290954193	0.342	0.227	3.14913189147883e-11	"A-Endothelial"	"Iigp1"
3.94730168704254e-15	0.28871232923571	0.77	0.656	1.3095962807101e-10	"A-Endothelial"	"Sat1"
5.14813645483567e-14	0.860537221809628	0.295	0.203	1.70799723162083e-09	"A-Endothelial"	"Igfbp4"
2.09422874720418e-09	0.255290274414432	0.33	0.249	6.94802271459931e-05	"A-Endothelial"	"Galnt15"
1.17221961814499e-08	0.250616971792878	0.203	0.137	0.000388907302711965	"A-Endothelial"	"Clu"
0	1.11923945469178	0.965	0.727	0	"C-Endothelial"	"Itm2a"
0	0.992345115661533	0.992	0.944	0	"C-Endothelial"	"Bsg"
0	0.971155453575329	0.972	0.568	0	"C-Endothelial"	"Slco1a4"
0	0.964119066524677	0.913	0.646	0	"C-Endothelial"	"Pltp"
0	0.92853431816819	0.892	0.542	0	"C-Endothelial"	"Spock2"
0	0.875997497663621	0.774	0.483	0	"C-Endothelial"	"Slc7a5"
0	0.859959661658229	0.867	0.453	0	"C-Endothelial"	"Slco1c1"
0	0.8030314513426	0.664	0.315	0	"C-Endothelial"	"Slc22a8"
0	0.801989104621727	0.57	0.287	0	"C-Endothelial"	"Hmcn1"
0	0.800045988367759	0.804	0.57	0	"C-Endothelial"	"Igf1r"
0	0.798863696569045	0.811	0.64	0	"C-Endothelial"	"Cxcl12"
0	0.794814981843689	0.753	0.464	0	"C-Endothelial"	"Gsta4"
0	0.791165462306025	0.834	0.576	0	"C-Endothelial"	"Gatm"
0	0.768456053499753	0.925	0.721	0	"C-Endothelial"	"Abcg2"
0	0.763883980239684	0.864	0.566	0	"C-Endothelial"	"Tspan13"
0	0.750537670161864	0.762	0.512	0	"C-Endothelial"	"Slc39a10"
0	0.74867210609334	0.871	0.72	0	"C-Endothelial"	"Arl4a"
0	0.743828730868728	0.696	0.442	0	"C-Endothelial"	"Lmo2"
0	0.734758492886726	0.798	0.529	0	"C-Endothelial"	"Ablim1"
0	0.7289368971264	0.627	0.351	0	"C-Endothelial"	"Slc40a1"
0	0.719617491085953	0.838	0.597	0	"C-Endothelial"	"Car4"
0	0.71689017418504	0.616	0.34	0	"C-Endothelial"	"Mfsd2a"
0	0.678796795159362	0.897	0.676	0	"C-Endothelial"	"Abcb1a"
0	0.675377228409488	0.738	0.471	0	"C-Endothelial"	"Itih5"
0	0.669017995242176	0.731	0.494	0	"C-Endothelial"	"Sema3c"
0	0.665544562009546	0.576	0.274	0	"C-Endothelial"	"Slc38a5"
0	0.658622986995083	0.444	0.17	0	"C-Endothelial"	"Ddc"
0	0.650280346472167	0.918	0.803	0	"C-Endothelial"	"Slc3a2"
0	0.64036225653998	0.938	0.791	0	"C-Endothelial"	"Tsc22d1"
0	0.635149840913134	0.967	0.833	0	"C-Endothelial"	"Selenop"
0	0.631239223145072	0.749	0.523	0	"C-Endothelial"	"Ccdc141"
0	0.624691259227704	0.874	0.652	0	"C-Endothelial"	"Sgms1"
0	0.612579114173515	0.725	0.516	0	"C-Endothelial"	"Nostrin"
0	0.596233446514116	0.945	0.791	0	"C-Endothelial"	"Ramp2"
0	0.582210709666055	0.796	0.603	0	"C-Endothelial"	"BC028528"
0	0.577268914672416	0.782	0.571	0	"C-Endothelial"	"St3gal6"
0	0.57620570827969	0.998	0.8	0	"C-Endothelial"	"Cldn5"
0	0.54735695476828	0.789	0.556	0	"C-Endothelial"	"Gpcpd1"
0	0.519419106483567	0.985	0.852	0	"C-Endothelial"	"Ly6e"
0	0.463936187423303	0.938	0.873	0	"C-Endothelial"	"App"
0	0.454867721617673	0.983	0.795	0	"C-Endothelial"	"Flt1"
0	0.449947208241259	0.999	0.833	0	"C-Endothelial"	"Ly6c1"
6.56936106192275e-305	0.622823259798512	0.611	0.36	2.17951691951411e-300	"C-Endothelial"	"Slc38a3"
2.79812709277027e-300	0.550685294753081	0.775	0.57	9.28334625568391e-296	"C-Endothelial"	"Wfdc1"
2.99416842885288e-300	0.450367822043478	0.944	0.893	9.9337525964052e-296	"C-Endothelial"	"Sptbn1"
1.93023864836407e-298	0.408230337559666	0.989	0.811	6.40395276367746e-294	"C-Endothelial"	"Slc2a1"
9.72153462907593e-297	0.529152415529496	0.803	0.628	3.22531354388852e-292	"C-Endothelial"	"Jcad"
1.38477502989681e-289	0.526377962394154	0.813	0.609	4.59426811668866e-285	"C-Endothelial"	"Ptprb"
2.40007130879227e-289	0.415453329101929	0.973	0.745	7.96271658118011e-285	"C-Endothelial"	"Pglyrp1"
2.99667725801281e-285	0.544870702080604	0.805	0.651	9.94207613890911e-281	"C-Endothelial"	"Tsc22d3"
7.38399394603237e-279	0.441793897739698	0.882	0.719	2.44978767147516e-274	"C-Endothelial"	"Pcp4l1"
6.43251498237706e-275	0.50129358909183	0.801	0.647	2.13411549570324e-270	"C-Endothelial"	"Ndrg1"
2.70033004141602e-273	0.339075113867409	0.992	0.98	8.95888497840592e-269	"C-Endothelial"	"Rpl38"
8.40485653053005e-272	0.613126209283867	0.577	0.33	2.78847925113396e-267	"C-Endothelial"	"Pllp"
