""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Tmcc1"	0	1.43936132270541	0.65	0.139	0	"Neutrophil"	"Tmcc1"
"Pygl"	0	1.42863061587712	0.709	0.19	0	"Neutrophil"	"Pygl"
"Resf1"	0	1.41290531840101	0.668	0.327	0	"Neutrophil"	"Resf1"
"Igf1r"	0	1.4127064320385	0.551	0.058	0	"Neutrophil"	"Igf1r"
"Lcp1"	0	1.40423673331923	0.918	0.798	0	"Neutrophil"	"Lcp1"
"Slc7a11"	0	1.40208612516089	0.716	0.281	0	"Neutrophil"	"Slc7a11"
"Lilr4b"	0	1.39982644422342	0.654	0.322	0	"Neutrophil"	"Lilr4b"
"N4bp1"	0	1.38476410661454	0.586	0.153	0	"Neutrophil"	"N4bp1"
"Il1rap"	0	1.37628566708789	0.578	0.055	0	"Neutrophil"	"Il1rap"
"Itgam"	0	1.36589689918989	0.789	0.549	0	"Neutrophil"	"Itgam"
"Csf1"	0	1.35883844176993	0.416	0.059	0	"Neutrophil"	"Csf1"
"Nudt4"	0	1.35718896748176	0.639	0.15	0	"Neutrophil"	"Nudt4"
"Ddx6"	0	1.35704166392036	0.647	0.197	0	"Neutrophil"	"Ddx6"
"Slpi"	0	1.34962001382481	0.817	0.268	0	"Neutrophil"	"Slpi"
"Mirt2"	0	1.33457906568124	0.513	0.01	0	"Neutrophil"	"Mirt2"
"Entpd1"	0	1.33352238732862	0.595	0.178	0	"Neutrophil"	"Entpd1"
"Cd14"	0	1.3296226679342	0.895	0.812	0	"Neutrophil"	"Cd14"
"Lmnb1"	0	1.32937491599157	0.785	0.349	0	"Neutrophil"	"Lmnb1"
"Lyst"	0	1.32872473925703	0.547	0.118	0	"Neutrophil"	"Lyst"
"Mcemp1"	0	1.30771287834522	0.797	0.238	0	"Neutrophil"	"Mcemp1"
"Cd300lf"	0	1.29850129920243	0.8	0.565	0	"Neutrophil"	"Cd300lf"
"Cd44"	0	1.29296137478555	0.846	0.645	0	"Neutrophil"	"Cd44"
"Ncf1"	0	1.2841445415916	0.781	0.484	0	"Neutrophil"	"Ncf1"
"Dmxl2"	0	1.28266971439252	0.603	0.219	0	"Neutrophil"	"Dmxl2"
"Tut7"	0	1.27314994652397	0.622	0.245	0	"Neutrophil"	"Tut7"
"Marcksl1"	0	1.2662253440576	0.646	0.262	0	"Neutrophil"	"Marcksl1"
"Hcar2"	0	1.25996700243394	0.474	0.082	0	"Neutrophil"	"Hcar2"
"Myh9"	0	1.25332787611141	0.715	0.391	0	"Neutrophil"	"Myh9"
"Gsr"	0	1.24555192156045	0.868	0.376	0	"Neutrophil"	"Gsr"
"Fbxl5"	0	1.24436638490276	0.639	0.32	0	"Neutrophil"	"Fbxl5"
"Ptafr"	0	1.23952174246349	0.743	0.409	0	"Neutrophil"	"Ptafr"
"Snx20"	0	1.21761103317672	0.658	0.238	0	"Neutrophil"	"Snx20"
"Crispld2"	0	1.21640469137329	0.505	0.016	0	"Neutrophil"	"Crispld2"
"Asprv1"	0	1.21058914315162	0.264	0.005	0	"Neutrophil"	"Asprv1"
"S100a6"	0	1.194550612937	0.946	0.826	0	"Neutrophil"	"S100a6"
"S100a11"	0	1.19336158256351	0.987	0.88	0	"Neutrophil"	"S100a11"
"Dennd4a"	0	1.19056836476624	0.552	0.194	0	"Neutrophil"	"Dennd4a"
"Glrx"	0	1.18743937475844	0.754	0.472	0	"Neutrophil"	"Glrx"
"Arg2"	0	1.18682412585387	0.599	0.157	0	"Neutrophil"	"Arg2"
"Il18rap"	0	1.16984090233853	0.507	0.013	0	"Neutrophil"	"Il18rap"
"Ptprc"	0	1.16619131921673	0.777	0.515	0	"Neutrophil"	"Ptprc"
"Ehd1"	0	1.151526846901	0.733	0.387	0	"Neutrophil"	"Ehd1"
"Mirt1"	0	1.14937570947973	0.483	0.009	0	"Neutrophil"	"Mirt1"
"Rdh12"	0	1.14431967091712	0.497	0.019	0	"Neutrophil"	"Rdh12"
"Stx11"	0	1.13156910709792	0.588	0.098	0	"Neutrophil"	"Stx11"
"Rab44"	0	1.12849126620468	0.521	0.024	0	"Neutrophil"	"Rab44"
"Cd24a"	0	1.12616750198177	0.899	0.68	0	"Neutrophil"	"Cd24a"
"Gmfg"	0	1.12281775890827	0.871	0.49	0	"Neutrophil"	"Gmfg"
"Actn1"	0	1.11884489691412	0.585	0.154	0	"Neutrophil"	"Actn1"
"Glipr2"	0	1.11661881673867	0.695	0.201	0	"Neutrophil"	"Glipr2"
"Diaph1"	0	1.11525974913308	0.664	0.318	0	"Neutrophil"	"Diaph1"
"Clec4d"	0	1.11382835798667	0.834	0.611	0	"Neutrophil"	"Clec4d"
"Adam19"	0	1.11302568953094	0.494	0.017	0	"Neutrophil"	"Adam19"
"Pnrc1"	0	1.11253506464395	0.791	0.486	0	"Neutrophil"	"Pnrc1"
"Selplg"	0	1.1077440201461	0.771	0.562	0	"Neutrophil"	"Selplg"
"Dusp16"	0	1.10651572236285	0.493	0.057	0	"Neutrophil"	"Dusp16"
"St3gal6"	0	1.10543354378748	0.483	0.053	0	"Neutrophil"	"St3gal6"
"Mir22hg"	0	1.07869224653407	0.464	0.016	0	"Neutrophil"	"Mir22hg"
"Trim30b"	0	1.07387785255442	0.491	0.024	0	"Neutrophil"	"Trim30b"
"Trib1"	0	1.06739788340441	0.651	0.316	0	"Neutrophil"	"Trib1"
"Slfn2"	0	1.0608187663159	0.853	0.667	0	"Neutrophil"	"Slfn2"
"Cmtm6"	0	1.05118272196734	0.604	0.22	0	"Neutrophil"	"Cmtm6"
"Sorl1"	0	1.0382822538275	0.547	0.114	0	"Neutrophil"	"Sorl1"
"Rnasel"	0	1.03796437883929	0.466	0.111	0	"Neutrophil"	"Rnasel"
"Ly6g"	0	1.03662533204106	0.324	0.011	0	"Neutrophil"	"Ly6g"
"Sell"	0	1.03567213123226	0.465	0.062	0	"Neutrophil"	"Sell"
"Cebpb"	0	1.03518928688225	0.929	0.665	0	"Neutrophil"	"Cebpb"
"Dgat1"	0	1.03241069651322	0.478	0.109	0	"Neutrophil"	"Dgat1"
"Mbd2"	0	1.02902408767602	0.552	0.183	0	"Neutrophil"	"Mbd2"
"Baz2b"	0	1.0054082686946	0.56	0.207	0	"Neutrophil"	"Baz2b"
"Stk17b"	0	0.996234759937372	0.692	0.364	0	"Neutrophil"	"Stk17b"
"Ier5"	0	0.99580470134917	0.81	0.526	0	"Neutrophil"	"Ier5"
"H2-Q10"	0	0.993673721379035	0.382	0.009	0	"Neutrophil"	"H2-Q10"
"Snx18"	0	0.989222899248361	0.65	0.328	0	"Neutrophil"	"Snx18"
"Coro1a"	0	0.984071510668592	0.926	0.782	0	"Neutrophil"	"Coro1a"
"Prnp"	0	0.981358187051445	0.438	0.116	0	"Neutrophil"	"Prnp"
"Pik3ap1"	0	0.971486079597452	0.41	0.035	0	"Neutrophil"	"Pik3ap1"
"Ltb4r1"	0	0.967025187276688	0.662	0.201	0	"Neutrophil"	"Ltb4r1"
"Jak2"	0	0.962580228449653	0.487	0.112	0	"Neutrophil"	"Jak2"
"Sgms2"	0	0.961591182633311	0.463	0.087	0	"Neutrophil"	"Sgms2"
"2310001H17Rik"	0	0.953605134118853	0.498	0.09	0	"Neutrophil"	"2310001H17Rik"
"Ltb"	0	0.948613058683646	0.401	0.028	0	"Neutrophil"	"Ltb"
"Ripor2"	0	0.9443856354745	0.446	0.025	0	"Neutrophil"	"Ripor2"
"Sema4a"	0	0.941710642811002	0.52	0.142	0	"Neutrophil"	"Sema4a"
"Siglece"	0	0.929753293633183	0.487	0.061	0	"Neutrophil"	"Siglece"
"Rab11fip1"	0	0.929747838350913	0.438	0.059	0	"Neutrophil"	"Rab11fip1"
"Btg1"	0	0.929698988763643	0.949	0.862	0	"Neutrophil"	"Btg1"
"C3"	0	0.902316101209798	0.415	0.07	0	"Neutrophil"	"C3"
"Tnfrsf23"	0	0.901446536942813	0.489	0.116	0	"Neutrophil"	"Tnfrsf23"
"Prdx5"	0	0.89756956725319	0.961	0.931	0	"Neutrophil"	"Prdx5"
"Rasa2"	0	0.892297569330618	0.471	0.118	0	"Neutrophil"	"Rasa2"
"Cd300ld"	0	0.887280020543204	0.506	0.166	0	"Neutrophil"	"Cd300ld"
"Gm19951"	0	0.883883159426057	0.286	0.019	0	"Neutrophil"	"Gm19951"
"Mefv"	0	0.880536891899482	0.41	0.05	0	"Neutrophil"	"Mefv"
"Jaml"	0	0.878751940125642	0.377	0.057	0	"Neutrophil"	"Jaml"
"Fmnl1"	0	0.872885974669121	0.587	0.233	0	"Neutrophil"	"Fmnl1"
"Tet2"	0	0.870906141107316	0.471	0.134	0	"Neutrophil"	"Tet2"
"Chil1"	0	0.867970041242574	0.377	0.016	0	"Neutrophil"	"Chil1"
"Tle3"	0	0.861181583244113	0.48	0.112	0	"Neutrophil"	"Tle3"
"Ifitm2"	0	0.860983556057459	0.921	0.824	0	"Neutrophil"	"Ifitm2"
"Itgal"	0	0.857796494122364	0.468	0.092	0	"Neutrophil"	"Itgal"
"Slc27a4"	0	0.853941691560733	0.421	0.064	0	"Neutrophil"	"Slc27a4"
"Osgin1"	0	0.848936818724104	0.394	0.071	0	"Neutrophil"	"Osgin1"
"Nedd9"	0	0.847574261774779	0.443	0.107	0	"Neutrophil"	"Nedd9"
"Rassf5"	0	0.844197944263376	0.494	0.146	0	"Neutrophil"	"Rassf5"
"Pilra"	0	0.843894205279398	0.658	0.265	0	"Neutrophil"	"Pilra"
"Dgat2"	0	0.842955110993063	0.451	0.065	0	"Neutrophil"	"Dgat2"
"Tarm1"	0	0.839162210964178	0.455	0.119	0	"Neutrophil"	"Tarm1"
"Atp11b"	0	0.838374910662363	0.479	0.132	0	"Neutrophil"	"Atp11b"
"Spata13"	0	0.827015712509611	0.396	0.089	0	"Neutrophil"	"Spata13"
"Nfe2"	0	0.824609107430727	0.409	0.028	0	"Neutrophil"	"Nfe2"
"Alox5ap"	0	0.823697736944956	0.963	0.945	0	"Neutrophil"	"Alox5ap"
"Fas"	0	0.823272509688856	0.391	0.068	0	"Neutrophil"	"Fas"
"Egln3"	0	0.807727130208957	0.395	0.092	0	"Neutrophil"	"Egln3"
"Morrbid"	0	0.799080301401203	0.421	0.092	0	"Neutrophil"	"Morrbid"
"Ndufb1-ps"	0	0.789469702926698	0.396	0.026	0	"Neutrophil"	"Ndufb1-ps"
"Ankrd33b"	0	0.774950062948583	0.392	0.077	0	"Neutrophil"	"Ankrd33b"
"Mmp25"	0	0.772483793529098	0.344	0.002	0	"Neutrophil"	"Mmp25"
"Cxcl3"	0	0.766826700277948	0.544	0.143	0	"Neutrophil"	"Cxcl3"
"Antxr2"	0	0.765910550184359	0.401	0.089	0	"Neutrophil"	"Antxr2"
"Rlf"	0	0.759691381135041	0.44	0.112	0	"Neutrophil"	"Rlf"
"Qsox1"	0	0.756341983291535	0.394	0.076	0	"Neutrophil"	"Qsox1"
"Syne1"	0	0.756029860444418	0.367	0.052	0	"Neutrophil"	"Syne1"
"Mir142hg"	0	0.755778563882818	0.443	0.099	0	"Neutrophil"	"Mir142hg"
"Cebpd"	0	0.750913275074873	0.338	0.026	0	"Neutrophil"	"Cebpd"
"Klhl2"	0	0.735973543166377	0.417	0.082	0	"Neutrophil"	"Klhl2"
"Trem3"	0	0.734194905955367	0.42	0.083	0	"Neutrophil"	"Trem3"
"Rnasek"	0	0.727122033539638	0.381	0.028	0	"Neutrophil"	"Rnasek"
"Mrgpra2b"	0	0.725100769485757	0.324	0.009	0	"Neutrophil"	"Mrgpra2b"
"Cdc42ep2"	0	0.711023788736491	0.328	0.032	0	"Neutrophil"	"Cdc42ep2"
"Schip1"	0	0.701925424599266	0.275	0.003	0	"Neutrophil"	"Schip1"
"Eif1"	0	0.697488575333498	0.998	0.997	0	"Neutrophil"	"Eif1"
"Samd9l"	0	0.697097182580157	0.342	0.058	0	"Neutrophil"	"Samd9l"
"Abtb1"	0	0.694332030342259	0.389	0.091	0	"Neutrophil"	"Abtb1"
"Dleu2"	0	0.692917946006384	0.298	0.015	0	"Neutrophil"	"Dleu2"
"Ceacam10"	0	0.690745294042377	0.306	0.007	0	"Neutrophil"	"Ceacam10"
"Adgrg3"	0	0.688311808819822	0.355	0.045	0	"Neutrophil"	"Adgrg3"
"Cass4"	0	0.676414830779228	0.336	0.016	0	"Neutrophil"	"Cass4"
"Themis2"	0	0.664082799242027	0.357	0.073	0	"Neutrophil"	"Themis2"
"Dach1"	0	0.663803826565421	0.305	0.017	0	"Neutrophil"	"Dach1"
"Lilra6"	0	0.648888859195167	0.339	0.054	0	"Neutrophil"	"Lilra6"
"Pbx1"	0	0.646920201182725	0.344	0.056	0	"Neutrophil"	"Pbx1"
"Alox5"	0	0.618182773699373	0.331	0.033	0	"Neutrophil"	"Alox5"
"1810026B05Rik"	0	0.615413517764011	0.323	0.015	0	"Neutrophil"	"1810026B05Rik"
"Lars2"	0	0.611286674844069	0.316	0.034	0	"Neutrophil"	"Lars2"
"Fgd3"	0	0.602112405931171	0.321	0.051	0	"Neutrophil"	"Fgd3"
"Arap3"	0	0.592065664959119	0.308	0.027	0	"Neutrophil"	"Arap3"
"Heca"	0	0.581151873594006	0.302	0.039	0	"Neutrophil"	"Heca"
"Lipg"	0	0.544922142593717	0.216	0.003	0	"Neutrophil"	"Lipg"
"Tgm1"	0	0.530711919282363	0.26	0.021	0	"Neutrophil"	"Tgm1"
"Itprip"	0	0.529710980388988	0.264	0.006	0	"Neutrophil"	"Itprip"
"Pram1"	0	0.52556097237687	0.298	0.046	0	"Neutrophil"	"Pram1"
"Slc22a15"	0	0.518566582415545	0.274	0.021	0	"Neutrophil"	"Slc22a15"
"Cish"	0	0.508881881451689	0.275	0.04	0	"Neutrophil"	"Cish"
"Oas3"	0	0.506178670671469	0.244	0.03	0	"Neutrophil"	"Oas3"
"Slc2a3"	0	0.495894848026147	0.206	0.014	0	"Neutrophil"	"Slc2a3"
"Rflnb"	0	0.495532626699011	0.218	0.023	0	"Neutrophil"	"Rflnb"
"Mapk13"	0	0.489104045862862	0.259	0.022	0	"Neutrophil"	"Mapk13"
"Krt83"	0	0.479601187039623	0.173	0.006	0	"Neutrophil"	"Krt83"
"Amer2"	0	0.477327803500714	0.226	0.003	0	"Neutrophil"	"Amer2"
"Ankrd22"	0	0.472035445965323	0.218	0.004	0	"Neutrophil"	"Ankrd22"
"4833407H14Rik"	0	0.468877717954955	0.212	0.015	0	"Neutrophil"	"4833407H14Rik"
"Gm20406"	0	0.468389330232388	0.219	0.022	0	"Neutrophil"	"Gm20406"
"Prok2"	0	0.461688405084987	0.128	0.003	0	"Neutrophil"	"Prok2"
"Gabbr1"	0	0.420655026577124	0.222	0.02	0	"Neutrophil"	"Gabbr1"
"Myo1d"	0	0.375677548657942	0.181	0.005	0	"Neutrophil"	"Myo1d"
"2410006H16Rik"	0	0.372266806222089	0.209	0.02	0	"Neutrophil"	"2410006H16Rik"
"Tacstd2"	0	0.349379896436498	0.168	0.01	0	"Neutrophil"	"Tacstd2"
"Itgb2l"	0	0.344203855476009	0.16	0.009	0	"Neutrophil"	"Itgb2l"
"Cpne1"	0	0.339926401670145	0.182	0.011	0	"Neutrophil"	"Cpne1"
"9830107B12Rik"	0	0.339847813367898	0.176	0.004	0	"Neutrophil"	"9830107B12Rik"
"4930581F22Rik"	0	0.331469063625631	0.161	0.002	0	"Neutrophil"	"4930581F22Rik"
"Fam169b"	0	0.325039044686471	0.176	0.008	0	"Neutrophil"	"Fam169b"
"Gm15832"	0	0.284438128373681	0.141	0.003	0	"Neutrophil"	"Gm15832"
"Gm42659"	0	0.254593678060601	0.14	0.003	0	"Neutrophil"	"Gm42659"
"Lnpep"	2.49660560649161e-307	0.816338760045177	0.483	0.16	8.28298842065721e-303	"Neutrophil"	"Lnpep"
"Rb1cc1"	2.8376555951387e-303	0.744168924243458	0.411	0.11	9.41448996799166e-299	"Neutrophil"	"Rb1cc1"
"Gm39556"	1.95411078579239e-302	0.334015314550414	0.187	0.016	6.48315335402341e-298	"Neutrophil"	"Gm39556"
"Cap1"	1.04441903224639e-301	1.0069480008867	0.653	0.362	3.46506902328385e-297	"Neutrophil"	"Cap1"
"Dab2ip"	5.81832237008172e-301	0.293259828911916	0.157	0.01	1.93034481272201e-296	"Neutrophil"	"Dab2ip"
"Il17ra"	5.05124198916278e-299	1.01976871221783	0.622	0.306	1.67585055474454e-294	"Neutrophil"	"Il17ra"
"Slc40a1"	9.41489930411184e-299	0.52002736622776	0.251	0.035	3.12358114212519e-294	"Neutrophil"	"Slc40a1"
"Jdp2"	1.12873664489668e-298	0.577687100043108	0.277	0.044	3.74480956677371e-294	"Neutrophil"	"Jdp2"
"Gas5"	1.46306491047434e-297	0.356621951832864	0.214	0.023	4.85401045348072e-293	"Neutrophil"	"Gas5"
"Hsd11b1"	6.87432397982636e-296	0.424883434294732	0.213	0.024	2.28069446678699e-291	"Neutrophil"	"Hsd11b1"
"Olr1"	2.74032297181497e-295	0.719329645569427	0.28	0.047	9.09156952359052e-291	"Neutrophil"	"Olr1"
"Cd47"	1.28324003485807e-292	0.972879854854792	0.815	0.701	4.25740546364863e-288	"Neutrophil"	"Cd47"
"Fmnl2"	1.03689385430185e-291	0.746201880119737	0.408	0.111	3.44010274041725e-287	"Neutrophil"	"Fmnl2"
"Cd52"	5.80521647443786e-291	0.712562928083965	0.98	0.948	1.92599666972425e-286	"Neutrophil"	"Cd52"
"C5ar1"	4.8983722141663e-287	0.74903719300632	0.879	0.68	1.62513294949395e-282	"Neutrophil"	"C5ar1"
"Neat1"	6.96944013989501e-287	1.07571947684178	0.838	0.737	2.31225115521297e-282	"Neutrophil"	"Neat1"
"Marchf7"	1.03718654287314e-283	0.964621411012566	0.593	0.285	3.44107379329021e-279	"Neutrophil"	"Marchf7"
"Tpd52"	2.07580209743494e-283	0.895651717822114	0.834	0.803	6.8868886186599e-279	"Neutrophil"	"Tpd52"
"Rac2"	2.87508534038835e-283	0.804944765925417	0.87	0.768	9.53867063380642e-279	"Neutrophil"	"Rac2"
"Zyx"	7.40593309309139e-283	1.00788015395996	0.692	0.427	2.45706642229493e-278	"Neutrophil"	"Zyx"
"Mapkapk2"	8.638218090615e-283	1.0450222946771	0.588	0.285	2.86590161592334e-278	"Neutrophil"	"Mapkapk2"
"Hmgb2"	9.94434115014169e-283	0.717477442542171	0.778	0.505	3.29923406338251e-278	"Neutrophil"	"Hmgb2"
"Tnfrsf26"	1.21603067613773e-281	0.565777068708907	0.297	0.056	4.03442497422214e-277	"Neutrophil"	"Tnfrsf26"
"Nsd3"	1.95498079414903e-281	0.919575135731479	0.536	0.219	6.48603978074822e-277	"Neutrophil"	"Nsd3"
"Mgll"	2.46205876501481e-279	0.320931267278095	0.166	0.013	8.16837236468963e-275	"Neutrophil"	"Mgll"
"Kdm5b"	2.68675897761521e-279	0.541209625900668	0.318	0.066	8.913860260034e-275	"Neutrophil"	"Kdm5b"
"Ets2"	8.93695785663412e-278	1.03099845982505	0.566	0.246	2.9650145080955e-273	"Neutrophil"	"Ets2"
"Id1"	3.13232010532551e-277	0.803620022057389	0.43	0.125	1.03920984134385e-272	"Neutrophil"	"Id1"
"Iqgap1"	3.13274299097772e-276	1.00948145713004	0.812	0.776	1.03935014211668e-271	"Neutrophil"	"Iqgap1"
"Syk"	1.31889410490005e-275	0.908227810343989	0.566	0.256	4.37569497182689e-271	"Neutrophil"	"Syk"
"Tes"	1.53627826716744e-274	1.02883909409169	0.616	0.315	5.09691040698142e-270	"Neutrophil"	"Tes"
"Orai1"	2.46739025883584e-274	0.809862574223917	0.537	0.215	8.18606066173965e-270	"Neutrophil"	"Orai1"
"Ppp1r3d"	5.60980861717395e-274	0.315496453063859	0.163	0.013	1.8611662049198e-269	"Neutrophil"	"Ppp1r3d"
"Cdkn1b"	3.66577301553537e-272	0.665791167362131	0.414	0.118	1.21619351336417e-267	"Neutrophil"	"Cdkn1b"
"Rasgrp4"	2.16928196739079e-271	0.585642428581616	0.334	0.074	7.19702678321241e-267	"Neutrophil"	"Rasgrp4"
"Ltf"	3.70833081513331e-269	1.67948068845864	0.218	0.028	1.23031291453678e-264	"Neutrophil"	"Ltf"
"Mboat7"	6.73692709012314e-268	0.811816540753249	0.491	0.185	2.23511030069015e-263	"Neutrophil"	"Mboat7"
"Dhrs9"	2.57457717064803e-267	0.536234182283758	0.279	0.053	8.54167467905897e-263	"Neutrophil"	"Dhrs9"
"Tnfaip2"	1.09317472557976e-266	1.30474265678908	0.662	0.395	3.62682578705598e-262	"Neutrophil"	"Tnfaip2"
"Rnf11"	5.57299241054922e-266	0.781913062222952	0.489	0.181	1.84895169204791e-261	"Neutrophil"	"Rnf11"
"Abtb2"	2.98420437985084e-263	0.33815271200296	0.192	0.021	9.90069487103114e-259	"Neutrophil"	"Abtb2"
"Selenon"	3.68665220960983e-262	0.631355700275837	0.349	0.089	1.22312060358225e-257	"Neutrophil"	"Selenon"
"6430548M08Rik"	4.58869243696152e-262	0.457428886272164	0.254	0.043	1.52239048981072e-257	"Neutrophil"	"6430548M08Rik"
"Lbr"	1.46478550115757e-260	0.68394505743552	0.373	0.098	4.85971885719046e-256	"Neutrophil"	"Lbr"
"Clec5a"	1.66863265634258e-260	0.932630954729446	0.647	0.354	5.53602256394776e-256	"Neutrophil"	"Clec5a"
"Emilin2"	1.75988254669499e-260	0.957894825539773	0.722	0.48	5.83876232516998e-256	"Neutrophil"	"Emilin2"
"Riok3"	4.12428595390509e-260	0.942389774891613	0.639	0.373	1.36831435092709e-255	"Neutrophil"	"Riok3"
"Plek"	1.57703905544467e-259	1.05873295225577	0.836	0.796	5.2321424742488e-255	"Neutrophil"	"Plek"
"H3f3a"	1.38914607310497e-258	0.47147902760302	0.988	0.986	4.60876992674034e-254	"Neutrophil"	"H3f3a"
"Pag1"	1.53019162663673e-258	0.67441882593391	0.405	0.123	5.07671675969269e-254	"Neutrophil"	"Pag1"
"Sh2d3c"	1.67278583980871e-258	0.502673816217189	0.274	0.052	5.54980158073337e-254	"Neutrophil"	"Sh2d3c"
"Scand1"	8.49435143435068e-258	0.820722095849993	0.613	0.294	2.81817097537452e-253	"Neutrophil"	"Scand1"
"Ampd3"	8.5460858977349e-258	0.443258908181702	0.245	0.041	2.83533491829151e-253	"Neutrophil"	"Ampd3"
"Actb"	1.28994577332883e-257	0.5807253384123	0.998	1	4.27965309217305e-253	"Neutrophil"	"Actb"
"Rnf19b"	1.95879361493823e-257	0.776120805610564	0.424	0.138	6.49868957628056e-253	"Neutrophil"	"Rnf19b"
"Tlr4"	5.50507739647835e-257	0.689084536920616	0.398	0.116	1.82641952782962e-252	"Neutrophil"	"Tlr4"
"Notch1"	9.14837058317138e-253	0.607140514658504	0.348	0.09	3.03515490837877e-248	"Neutrophil"	"Notch1"
"Cd9"	5.63030825946313e-252	0.64416765803526	0.96	0.902	1.86796737124208e-247	"Neutrophil"	"Cd9"
"Cytip"	1.62605171582285e-251	0.952620476242018	0.585	0.266	5.39475177758547e-247	"Neutrophil"	"Cytip"
"4632427E13Rik"	2.38159148597497e-250	0.281922920888832	0.141	0.01	7.90140607301917e-246	"Neutrophil"	"4632427E13Rik"
"Marcks"	4.02497370338922e-250	1.28677700374022	0.722	0.548	1.33536552557344e-245	"Neutrophil"	"Marcks"
"B230208H11Rik"	2.13648087434276e-249	0.345679134299865	0.158	0.014	7.08820259680698e-245	"Neutrophil"	"B230208H11Rik"
