""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Clk1"	1.57619134106417e-167	0.469167512822089	0.613	0.559	5.2293300122486e-163	"Homeostatic Microglia"	"Clk1"
"Ctsf"	2.1277501604741e-163	0.400668835479364	0.481	0.359	7.05923670740491e-159	"Homeostatic Microglia"	"Ctsf"
"Scamp2"	1.40988699653438e-160	0.367522699010085	0.666	0.644	4.67758208840211e-156	"Homeostatic Microglia"	"Scamp2"
"Qk"	5.25661745113326e-156	0.354887304674002	0.769	0.791	1.74398797176248e-151	"Homeostatic Microglia"	"Qk"
"Col27a1"	2.2197857416127e-154	0.36670319110314	0.289	0.158	7.36458315494845e-150	"Homeostatic Microglia"	"Col27a1"
"Pag1"	8.63226990233405e-151	0.391345820629776	0.454	0.351	2.86392818549737e-146	"Homeostatic Microglia"	"Pag1"
"Sting1"	1.13642517478352e-148	0.381669801925219	0.496	0.396	3.77031780237928e-144	"Homeostatic Microglia"	"Sting1"
"Il6ra"	1.46802179377279e-146	0.403261017271042	0.441	0.328	4.87045590519998e-142	"Homeostatic Microglia"	"Il6ra"
"Rps27"	2.0483959467109e-145	0.25782882901949	0.998	0.997	6.79596323240274e-141	"Homeostatic Microglia"	"Rps27"
"Ivns1abp"	9.83807324135862e-145	0.417752358522394	0.583	0.535	3.26397755928555e-140	"Homeostatic Microglia"	"Ivns1abp"
"Abca9"	1.13376154342769e-143	0.257824687170271	0.186	0.076	3.76148067263004e-139	"Homeostatic Microglia"	"Abca9"
"Pou2f2"	1.19444112513243e-143	0.380542953686914	0.618	0.569	3.96279732085188e-139	"Homeostatic Microglia"	"Pou2f2"
"Susd3"	7.85800971891335e-143	0.406587252778214	0.526	0.435	2.60705188444388e-138	"Homeostatic Microglia"	"Susd3"
"Bin2"	2.6256594477829e-139	0.344264057474105	0.714	0.688	8.71115034990933e-135	"Homeostatic Microglia"	"Bin2"
"Cyth4"	2.3549448689753e-138	0.335162898178234	0.686	0.683	7.81300059179937e-134	"Homeostatic Microglia"	"Cyth4"
"Zfp36l2"	3.98527766349236e-138	0.526103368519002	0.493	0.411	1.32219557041686e-133	"Homeostatic Microglia"	"Zfp36l2"
"Entpd1"	1.6846533303681e-137	0.405414465188316	0.372	0.255	5.58917435416225e-133	"Homeostatic Microglia"	"Entpd1"
"Sft2d1"	4.24783032650127e-137	0.326000145281242	0.778	0.779	1.40930266742333e-132	"Homeostatic Microglia"	"Sft2d1"
"Slc1a3"	1.61349783075975e-134	0.326537382756386	0.289	0.166	5.35310175311161e-130	"Homeostatic Microglia"	"Slc1a3"
"Ccnl1"	6.1359520332832e-134	0.46862336356472	0.628	0.602	2.03572480608237e-129	"Homeostatic Microglia"	"Ccnl1"
"Epb41l2"	1.93364844415176e-133	0.335651498806371	0.73	0.743	6.4152654431623e-129	"Homeostatic Microglia"	"Epb41l2"
"Rnase4"	8.11655701336755e-132	0.326244540407181	0.798	0.773	2.69283012032495e-127	"Homeostatic Microglia"	"Rnase4"
"Wsb1"	2.24852729880176e-129	0.45121345061769	0.61	0.591	7.45993901923459e-125	"Homeostatic Microglia"	"Wsb1"
"Mef2a"	1.78727733844168e-128	0.432926472747145	0.596	0.575	5.92965002574796e-124	"Homeostatic Microglia"	"Mef2a"
"Mertk"	5.8045451018955e-128	0.388541930818234	0.501	0.423	1.92577392845587e-123	"Homeostatic Microglia"	"Mertk"
"Adap2"	8.21673425267493e-128	0.388979399394133	0.49	0.409	2.72606592300996e-123	"Homeostatic Microglia"	"Adap2"
"Thrsp"	9.41550947241024e-127	0.276622103291858	0.2	0.093	3.12378357766155e-122	"Homeostatic Microglia"	"Thrsp"
"Capn3"	4.3009374416006e-126	0.274672926691262	0.282	0.162	1.42692201499983e-121	"Homeostatic Microglia"	"Capn3"
"Btg1"	2.32996301054033e-123	0.299739278913623	0.839	0.835	7.73011828006966e-119	"Homeostatic Microglia"	"Btg1"
"Plxdc2"	4.16130131064337e-121	0.333797945468413	0.695	0.678	1.38059493583215e-116	"Homeostatic Microglia"	"Plxdc2"
"Itgb5"	1.80146238142828e-120	0.272407741417414	0.824	0.841	5.97671174286461e-116	"Homeostatic Microglia"	"Itgb5"
"Jund"	1.23651951006084e-118	0.555560483306194	0.656	0.596	4.10240077852886e-114	"Homeostatic Microglia"	"Jund"
"Lst1"	7.48863770104643e-117	0.395818407688523	0.54	0.471	2.48450533007617e-112	"Homeostatic Microglia"	"Lst1"
"Usp2"	4.03262308488869e-116	0.377963347546471	0.46	0.377	1.33790336087352e-111	"Homeostatic Microglia"	"Usp2"
"Maf"	1.51863320929782e-115	0.417166970468128	0.509	0.445	5.03836939848739e-111	"Homeostatic Microglia"	"Maf"
"Mbnl1"	1.13015117259174e-114	0.371501999991292	0.645	0.653	3.74950254530763e-110	"Homeostatic Microglia"	"Mbnl1"
"Tmcc3"	4.67461379583094e-113	0.384419277977965	0.471	0.384	1.55089661904283e-108	"Homeostatic Microglia"	"Tmcc3"
"Tanc2"	5.88760004164111e-112	0.367832799094552	0.387	0.287	1.95332906581527e-107	"Homeostatic Microglia"	"Tanc2"
"Ier3"	2.85730838716743e-111	0.374479484822541	0.737	0.732	9.47969203610539e-107	"Homeostatic Microglia"	"Ier3"
"Il10ra"	1.27532609524769e-109	0.39235854886583	0.409	0.315	4.23114938620325e-105	"Homeostatic Microglia"	"Il10ra"
"Hspa1b"	2.53623030149541e-109	0.758599041067624	0.224	0.12	8.41445127127131e-105	"Homeostatic Microglia"	"Hspa1b"
"Clec4a2"	2.96265449408419e-109	0.29828318742661	0.3	0.19	9.82919881502312e-105	"Homeostatic Microglia"	"Clec4a2"
"Pla2g15"	5.94105744157374e-105	0.37050914855255	0.498	0.441	1.97106462739092e-100	"Homeostatic Microglia"	"Pla2g15"
"Ypel3"	6.1695560384172e-105	0.326689901323873	0.618	0.568	2.04687360686567e-100	"Homeostatic Microglia"	"Ypel3"
"Eif4a2"	8.98898429493703e-104	0.342254940518665	0.608	0.589	2.98227531953126e-99	"Homeostatic Microglia"	"Eif4a2"
"Mob3c"	1.29477391354797e-101	0.367053048600687	0.4	0.309	4.29567141297811e-97	"Homeostatic Microglia"	"Mob3c"
"Gna15"	2.86658947022105e-100	0.340992367019727	0.507	0.45	9.51048388535237e-96	"Homeostatic Microglia"	"Gna15"
"Nav3"	5.43436405916137e-100	0.364749804531327	0.357	0.263	1.80295896390797e-95	"Homeostatic Microglia"	"Nav3"
"Ctc1"	5.79039713462551e-99	0.322773792459536	0.417	0.331	1.92108005735471e-94	"Homeostatic Microglia"	"Ctc1"
"Pnrc1"	1.49871812663428e-98	0.441068824113212	0.587	0.556	4.97229712873456e-94	"Homeostatic Microglia"	"Pnrc1"
"Hk2"	6.25424951865279e-98	0.323465101635479	0.66	0.659	2.07497236280344e-93	"Homeostatic Microglia"	"Hk2"
"Icam1"	7.18361090522511e-98	0.423184635109159	0.661	0.659	2.38330659002654e-93	"Homeostatic Microglia"	"Icam1"
"Tra2b"	5.43096341197337e-96	0.360461361683613	0.683	0.71	1.8018307311904e-91	"Homeostatic Microglia"	"Tra2b"
"Cd33"	8.04451766718141e-96	0.306201661050255	0.581	0.543	2.66892962644078e-91	"Homeostatic Microglia"	"Cd33"
"Inpp5d"	1.37732928441668e-94	0.31031930831329	0.582	0.572	4.56956536690923e-90	"Homeostatic Microglia"	"Inpp5d"
"Dleu2"	1.08439748553738e-93	0.453225355723339	0.192	0.1	3.59770553776738e-89	"Homeostatic Microglia"	"Dleu2"
"Celf2"	1.95217860720549e-93	0.31477652765657	0.627	0.631	6.47674296512565e-89	"Homeostatic Microglia"	"Celf2"
"Slc40a1"	9.88480075130498e-93	0.251795823490684	0.203	0.111	3.27948034526045e-88	"Homeostatic Microglia"	"Slc40a1"
"Csf3r"	1.6569749268018e-92	0.317025630610205	0.451	0.375	5.49734571465032e-88	"Homeostatic Microglia"	"Csf3r"
"Smap2"	1.66282211786222e-92	0.328475878210862	0.565	0.535	5.5167449404315e-88	"Homeostatic Microglia"	"Smap2"
"Gng10"	2.0845179087461e-92	0.363201669171563	0.357	0.252	6.91580506584693e-88	"Homeostatic Microglia"	"Gng10"
"Neurl3"	2.99077095628357e-91	0.388836161507376	0.305	0.213	9.92248080166199e-87	"Homeostatic Microglia"	"Neurl3"
"Tsc22d3"	3.06993540897339e-91	0.4380739553187	0.521	0.466	1.0185124706351e-86	"Homeostatic Microglia"	"Tsc22d3"
"Daglb"	5.1983715507059e-91	0.282327875145813	0.623	0.618	1.72466372937769e-86	"Homeostatic Microglia"	"Daglb"
"Cttnbp2nl"	6.37698196914878e-91	0.329689217842307	0.489	0.441	2.11569130790449e-86	"Homeostatic Microglia"	"Cttnbp2nl"
"Dusp1"	2.39380290887763e-90	0.475710845851638	0.708	0.702	7.94191991078333e-86	"Homeostatic Microglia"	"Dusp1"
"Rogdi"	2.87210004269556e-86	0.304791508400748	0.385	0.3	9.52876631165107e-82	"Homeostatic Microglia"	"Rogdi"
"Adap2os"	9.6660819078856e-86	0.429984241686658	0.437	0.377	3.20691599457921e-81	"Homeostatic Microglia"	"Adap2os"
"Lrba"	6.74153645098267e-85	0.283016421368026	0.245	0.155	2.23663954834252e-80	"Homeostatic Microglia"	"Lrba"
"Smad7"	3.9256165386884e-83	0.342163320828933	0.351	0.265	1.30240179904065e-78	"Homeostatic Microglia"	"Smad7"
"Limd2"	1.56556626166013e-82	0.2645438494005	0.664	0.662	5.19407918630981e-78	"Homeostatic Microglia"	"Limd2"
"H2-DMa"	1.94698749035532e-81	0.264867803234067	0.729	0.736	6.45952039675186e-77	"Homeostatic Microglia"	"H2-DMa"
"Pde3b"	2.7902057626356e-81	0.326315468440813	0.477	0.434	9.25706565869612e-77	"Homeostatic Microglia"	"Pde3b"
"Lcp1"	6.94591722968925e-80	0.277738535910359	0.764	0.814	2.304446959294e-75	"Homeostatic Microglia"	"Lcp1"
"Serpinf1"	1.80035897937464e-79	0.267387200322128	0.198	0.114	5.97305098587123e-75	"Homeostatic Microglia"	"Serpinf1"
"Rps6ka1"	4.78918707080185e-79	0.293060722634435	0.47	0.421	1.58890859447993e-74	"Homeostatic Microglia"	"Rps6ka1"
"Tmem176a"	6.90254101199574e-79	0.251773663825292	0.691	0.652	2.29005603154983e-74	"Homeostatic Microglia"	"Tmem176a"
"Tpst2"	8.95879840877375e-79	0.304319023958021	0.583	0.576	2.97226054807887e-74	"Homeostatic Microglia"	"Tpst2"
"Cd37"	4.70943284843047e-78	0.269388746162949	0.753	0.777	1.56244853612378e-73	"Homeostatic Microglia"	"Cd37"
"Jmjd1c"	1.40466960007494e-76	0.414854823250418	0.514	0.493	4.66027233216863e-72	"Homeostatic Microglia"	"Jmjd1c"
"Nrip1"	2.48415291957275e-74	0.342436968396545	0.346	0.274	8.24167414126651e-70	"Homeostatic Microglia"	"Nrip1"
"Slc29a3"	4.88986936935651e-74	0.291505488858843	0.401	0.337	1.62231196067141e-69	"Homeostatic Microglia"	"Slc29a3"
"Mtus1"	1.76725158811073e-72	0.278574911292672	0.45	0.397	5.86321059387496e-68	"Homeostatic Microglia"	"Mtus1"
"Dusp6"	5.21144513915306e-72	0.363499834808764	0.412	0.348	1.72900115381681e-67	"Homeostatic Microglia"	"Dusp6"
"Klk8"	7.6347284548599e-72	0.283598250053722	0.425	0.354	2.53297385946887e-67	"Homeostatic Microglia"	"Klk8"
"Cd34"	2.12006312789526e-71	0.26492676945835	0.562	0.516	7.03373343941811e-67	"Homeostatic Microglia"	"Cd34"
"Zfp36l1"	3.13460608455211e-71	0.357922518950827	0.661	0.676	1.03996826067185e-66	"Homeostatic Microglia"	"Zfp36l1"
"Arhgap45"	1.90921031429892e-70	0.343686134407627	0.471	0.431	6.33418705974954e-66	"Homeostatic Microglia"	"Arhgap45"
"Picalm"	5.65837036522962e-70	0.293414779110091	0.677	0.716	1.87727753607223e-65	"Homeostatic Microglia"	"Picalm"
"Inka1"	7.68359154548679e-70	0.31596030593576	0.34	0.268	2.54918516704615e-65	"Homeostatic Microglia"	"Inka1"
"Frmd4b"	2.30083110393644e-67	0.271088417612328	0.31	0.236	7.63346735352992e-63	"Homeostatic Microglia"	"Frmd4b"
"Klf4"	5.3514161702096e-67	0.534674372305487	0.382	0.311	1.77543934279044e-62	"Homeostatic Microglia"	"Klf4"
"Rasgrp3"	7.42766662868726e-67	0.300188412734189	0.445	0.397	2.46427695739957e-62	"Homeostatic Microglia"	"Rasgrp3"
"Gpr183"	7.51918923492155e-67	0.474551044086578	0.44	0.399	2.49464141246992e-62	"Homeostatic Microglia"	"Gpr183"
"Ecscr"	1.08869315279545e-66	0.293179529244409	0.552	0.525	3.61195727302947e-62	"Homeostatic Microglia"	"Ecscr"
"Hps4"	4.06376897058144e-65	0.274360738196268	0.394	0.333	1.3482366313698e-60	"Homeostatic Microglia"	"Hps4"
"Tnfaip8l2"	1.34848538861527e-62	0.276551897581484	0.618	0.624	4.47386997380887e-58	"Homeostatic Microglia"	"Tnfaip8l2"
"Pik3r1"	4.2334619816599e-62	0.309120756473945	0.446	0.408	1.40453568165531e-57	"Homeostatic Microglia"	"Pik3r1"
"Golm1"	5.26685055245784e-61	0.284389440449172	0.56	0.571	1.74738300778894e-56	"Homeostatic Microglia"	"Golm1"
"Cmtm7"	5.75170992247027e-61	0.260695985741926	0.655	0.663	1.90824480097796e-56	"Homeostatic Microglia"	"Cmtm7"
"Ikzf1"	1.19998537833112e-60	0.286572661068556	0.389	0.338	3.98119148968917e-56	"Homeostatic Microglia"	"Ikzf1"
"Csnk1e"	3.6937666521426e-60	0.281411492468727	0.466	0.437	1.22548096218135e-55	"Homeostatic Microglia"	"Csnk1e"
"Gem"	3.80096714311351e-60	0.401852368459491	0.467	0.429	1.26104686907077e-55	"Homeostatic Microglia"	"Gem"
"Commd8"	7.51080177927581e-60	0.281366662892569	0.593	0.599	2.49185870631034e-55	"Homeostatic Microglia"	"Commd8"
"Skil"	1.84778450385384e-59	0.318493582093446	0.626	0.658	6.13039464843588e-55	"Homeostatic Microglia"	"Skil"
"2410006H16Rik"	2.2640459003977e-58	0.344993254547838	0.211	0.136	7.51142508374946e-54	"Homeostatic Microglia"	"2410006H16Rik"
"Elmo1"	4.32062701909252e-58	0.334081738939833	0.419	0.384	1.43345442612432e-53	"Homeostatic Microglia"	"Elmo1"
"Sgk1"	1.0422654899897e-56	0.344478973771517	0.706	0.703	3.45792421613882e-52	"Homeostatic Microglia"	"Sgk1"
"Cryba4"	6.2578058262682e-56	0.260102343493592	0.304	0.235	2.076152238981e-51	"Homeostatic Microglia"	"Cryba4"
"Nuak1"	2.90956864781109e-55	0.253618743925304	0.289	0.221	9.65307590284286e-51	"Homeostatic Microglia"	"Nuak1"
"Mat2a"	9.04380776661292e-55	0.286454818859401	0.592	0.609	3.00046410272917e-50	"Homeostatic Microglia"	"Mat2a"
"0610040J01Rik"	3.41016720434327e-54	0.265665542164648	0.317	0.258	1.13139117338497e-49	"Homeostatic Microglia"	"0610040J01Rik"
"Rsrp1"	1.23705245348611e-53	0.264987101728861	0.689	0.72	4.10416892493088e-49	"Homeostatic Microglia"	"Rsrp1"
"Bmp2k"	1.47239459101643e-52	0.295032202338613	0.587	0.599	4.88496353461522e-48	"Homeostatic Microglia"	"Bmp2k"
"Slc38a2"	1.33756013799758e-51	0.328065153624463	0.472	0.466	4.43762326983457e-47	"Homeostatic Microglia"	"Slc38a2"
"Rcsd1"	1.4974113561013e-51	0.263227706479818	0.376	0.326	4.96796165613727e-47	"Homeostatic Microglia"	"Rcsd1"
"Rps27rt"	5.07012365439232e-51	0.328987928185843	0.754	0.81	1.68211492481774e-46	"Homeostatic Microglia"	"Rps27rt"
"Tsc22d2"	4.19638057536015e-50	0.306543894911759	0.341	0.285	1.39223318348724e-45	"Homeostatic Microglia"	"Tsc22d2"
"Sipa1"	3.37706940625298e-49	0.26624259439055	0.434	0.403	1.12041031691255e-44	"Homeostatic Microglia"	"Sipa1"
"Pmaip1"	1.18534416691825e-48	0.28474586163464	0.282	0.217	3.93261634258467e-44	"Homeostatic Microglia"	"Pmaip1"
"Slc16a6"	8.18443504610982e-48	0.250468444857031	0.362	0.314	2.71535001524786e-43	"Homeostatic Microglia"	"Slc16a6"
"Git2"	1.38431921237474e-47	0.284793050195936	0.428	0.402	4.59275585089568e-43	"Homeostatic Microglia"	"Git2"
"Dock10"	4.42992642558067e-47	0.260157426821682	0.364	0.316	1.4697166902149e-42	"Homeostatic Microglia"	"Dock10"
"Akirin2"	1.53702734845787e-45	0.260696376294453	0.358	0.306	5.09939563397867e-41	"Homeostatic Microglia"	"Akirin2"
"Tifa"	5.46398337778721e-45	0.265502109763206	0.498	0.487	1.81278576524846e-40	"Homeostatic Microglia"	"Tifa"
"Tob2"	6.53066921072069e-45	0.383808910705825	0.423	0.405	2.1666801240408e-40	"Homeostatic Microglia"	"Tob2"
"Acox3"	2.98933517803542e-43	0.290123679926922	0.298	0.246	9.91771732016813e-39	"Homeostatic Microglia"	"Acox3"
"Lyl1"	2.63287845161196e-39	0.258511395985171	0.347	0.306	8.73510083891301e-35	"Homeostatic Microglia"	"Lyl1"
"Gm9843"	9.14461280933772e-39	0.370317523774549	0.422	0.379	3.03390819175398e-34	"Homeostatic Microglia"	"Gm9843"
"Cd82"	6.12061541298158e-37	0.258991086383265	0.321	0.281	2.0306365755649e-32	"Homeostatic Microglia"	"Cd82"
"ENSMUSG00000105361"	3.77928396294601e-35	0.327287226238562	0.32	0.268	1.2538530403866e-30	"Homeostatic Microglia"	"ENSMUSG00000105361"
